geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_filenames,time_delta,s2_date,DHP,CAN-EYEVersion,Species,NameESU,X-WGS84,Y-WGS84,PAIeff–CE,PAIeffCEV5.1,PAIeff–P57,PAIeffMiller,PAIeff–LAI20003rings,PAIeff–LAI20004rings,PAIeff–LAI20005rings,PAItrue–CE,PAItrue–CEV5.1,PAItrue–P57,PAItrue–Miller
POINT (354793.788638311 4814776.053129199),2017-11-27,0.0432,0.0702,0.0568,0.3389,0.1074,0.2915,0.3277,0.3411,0.1428,0.0772,0,0,0,0,65.0,168.0,0.0,0.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,0 days,2017-11-27,DHP,V6.495,winter oilseedrape,BRA-59,1.20473,43.47181,0.98,1.03,0.98,0.93,1.3,1.19,1.0,2.14,1.89,2.14,0.98
POINT (350772.4017245655 4816514.369943631),2017-11-28,0.168,0.1247,0.0932,0.1047,0.0965,0.1039,0.1048,0.1046,0.049,0.0303,0,0,0,4,67.0,67.0,67.0,67.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20171212-105436-462_L2A_T31TCJ_D_V1-4_roi_0.tif,-14 days,2017-12-12,DHP,V6.495,winter oilseedrape,ANJ-23,1.15456,43.486663,0.64,0.66,0.64,0.66,0.84,0.72,0.63,1.11,0.88,1.12,0.74
POINT (356795.5194854366 4816426.2911276),2018-02-27,0.0484,0.082,0.0866,0.2489,0.1389,0.2166,0.2387,0.2538,0.1755,0.1036,0,0,0,0,52.0,52.0,52.0,52.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180302-105023-464_L2A_T31TCJ_C_V2-2_roi_0.tif,-3 days,2018-03-02,DHP,V6.495,winter wheat,BLA-1-4,1.229033,43.487048,0.84,0.71,0.84,0.77,0.58,0.67,0.63,1.04,0.82,1.04,0.77
POINT (356867.3229012456 4815477.210606028),2018-02-27,0.0199,0.0456,0.0249,0.5315,0.0875,0.4062,0.504,0.5263,0.1535,0.0747,0,0,0,0,1.0,1.0,1.0,0.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20180317-105355-924_L2A_T31TCJ_C_V2-2_roi_0.tif,-18 days,2018-03-17,DHP,V6.495,winter oilseedrape,BLA-5-13,1.23017,43.47852,0.74,0.7,0.74,0.75,0.93,0.8,0.71,1.13,1.03,1.13,0.85
POINT (356795.5194854366 4816426.2911276),2018-02-27,0.0281,0.0524,0.0386,0.2701,0.089,0.2295,0.2681,0.2788,0.1421,0.0817,0,0,0,0,45.0,45.0,45.0,45.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180322-105809-862_L2A_T31TCJ_C_V2-2_roi_0.tif,-23 days,2018-03-22,DHP,V6.495,winter wheat,BLA-1-4,1.229033,43.487048,0.84,0.71,0.84,0.77,0.58,0.67,0.63,1.04,0.82,1.04,0.77
POINT (379551.1086650125 4820319.096322129),2018-02-28,0.0399,0.0733,0.0641,0.3137,0.1296,0.2733,0.3099,0.3262,0.2212,0.1324,0,0,0,0,44.0,44.0,157.0,157.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180322-105809-862_L2A_T31TCJ_C_V2-2_roi_0.tif,-22 days,2018-03-22,DHP,V6.495,winter wheat,AUZ-10-1-PP,1.50948,43.5261,0.54,0.51,0.55,0.49,0.5,0.51,0.47,0.72,0.55,0.72,0.47
POINT (350874.9769102244 4817090.674677436),2018-03-01,0.0352,0.0675,0.0709,0.2743,0.1351,0.2433,0.2749,0.2935,0.1643,0.0927,0,0,0,0,52.0,52.0,52.0,52.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180302-105023-464_L2A_T31TCJ_C_V2-2_roi_0.tif,-1 days,2018-03-02,DHP,V6.492,winter wheat,ANJ-28,1.15567,43.49187,0.82,0.71,0.82,0.76,0.58,0.68,0.63,1.01,0.88,1.01,0.81
POINT (350874.9769102244 4817090.674677436),2018-03-01,0.0256,0.0454,0.0383,0.255,0.081,0.2024,0.2485,0.268,0.1264,0.0761,0,0,0,0,45.0,45.0,45.0,45.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180322-105809-862_L2A_T31TCJ_C_V2-2_roi_0.tif,-21 days,2018-03-22,DHP,V6.492,winter wheat,ANJ-28,1.15567,43.49187,0.82,0.71,0.82,0.76,0.58,0.68,0.63,1.01,0.88,1.01,0.81
POINT (379551.1086650125 4820319.096322129),2018-04-03,0.0314,0.0596,0.0454,0.3516,0.1011,0.2804,0.3413,0.3582,0.1811,0.0971,0,0,0,0,33.0,33.0,155.0,155.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180421-105629-233_L2A_T31TCJ_C_V2-2_roi_0.tif,-18 days,2018-04-21,DHP,V6.495,winter wheat,AUZ-10-1-PP,1.50948,43.5261,1.71,1.65,1.71,1.64,1.43,1.52,1.37,2.31,1.99,2.31,1.69
POINT (356795.3553948401 4816426.183508198),2018-04-04,0.0301,0.051,0.0344,0.409,0.0667,0.2801,0.3961,0.416,0.1287,0.0597,0,0,0,0,33.0,33.0,33.0,33.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180421-105629-233_L2A_T31TCJ_C_V2-2_roi_0.tif,-17 days,2018-04-21,DHP,V6.495,winter wheat,BLA-1-4,1.229031,43.487047,1.43,1.44,1.43,1.45,1.39,1.39,1.22,1.71,1.57,1.71,1.5
POINT (350863.2394710009 4817130.491957843),2018-04-05,0.0159,0.0322,0.021,0.3013,0.0557,0.2133,0.2861,0.3168,0.1028,0.0489,0,0,0,0,33.0,33.0,33.0,33.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180421-105629-233_L2A_T31TCJ_C_V2-2_roi_0.tif,-16 days,2018-04-21,DHP,V6.495,winter wheat,ANJ-28,1.155514,43.492226,2.18,2.21,2.18,2.21,1.85,1.96,1.74,2.99,2.82,2.99,2.4
POINT (357051.6147779844 4817144.400542486),2018-04-06,0.0521,0.122,0.0993,0.4992,0.1482,0.4001,0.492,0.5033,0.1464,0.0739,0,0,0,0,33.0,33.0,33.0,155.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180421-105629-233_L2A_T31TCJ_C_V2-2_roi_0.tif,-15 days,2018-04-21,DHP,V6.495,winter oilseedrape,BOP-9,1.23201,43.49356,1.85,2.14,1.85,2.09,2.44,2.2,1.82,3.17,2.49,3.17,2.26
POINT (350890.3057286424 4817092.446168891),2018-05-02,0.0247,0.0415,0.0262,0.3391,0.0615,0.2336,0.3383,0.3533,0.1027,0.0479,0,0,0,0,27.0,27.0,27.0,27.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,-9 days,2018-05-11,DHP,V6.495,winter wheat,ANJ-28,1.155859,43.491889,,,,,,,,,,,
POINT (356795.3553948401 4816426.183508198),2018-05-02,0.009,0.028,0.0082,0.4472,0.0426,0.2723,0.4304,0.465,0.0996,0.0407,0,0,0,0,25.0,150.0,150.0,150.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180521-105702-711_L2A_T31TCJ_C_V2-2_roi_0.tif,-19 days,2018-05-21,DHP,V6.492,winter wheat,BLA-1-4,1.229031,43.487047,,,,,,,,,,,
POINT (357331.6090905318 4816920.680958408),2018-05-04,0.0194,0.0376,0.0213,0.3672,0.0525,0.2482,0.3597,0.3854,0.0954,0.041,0,0,0,0,27.0,27.0,27.0,27.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,-7 days,2018-05-11,DHP,V6.495,winter wheat,BLA-4,1.23553,43.4916,2.8,,,,,,,3.93,,,
POINT (357331.6090905318 4816920.680958408),2018-05-04,0.0115,0.032,0.013,0.3935,0.048,0.2565,0.3706,0.4067,0.0997,0.0456,0,0,0,0,25.0,25.0,25.0,25.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180521-105702-711_L2A_T31TCJ_C_V2-2_roi_0.tif,-17 days,2018-05-21,DHP,V6.495,winter wheat,BLA-4,1.23553,43.4916,2.8,,,,,,,3.93,,,
POINT (379551.1086650125 4820319.096322129),2018-05-05,0.0247,0.0452,0.0346,0.3091,0.0714,0.2358,0.301,0.3209,0.1375,0.0717,0,0,0,0,27.0,27.0,153.0,153.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,-6 days,2018-05-11,DHP,V6.495,winter wheat,AUZ-10-1-PP,1.50948,43.5261,,,,,,,,,,,
POINT (379551.1086650125 4820319.096322129),2018-05-05,0.022,0.0406,0.0278,0.3037,0.0669,0.2284,0.2962,0.3174,0.1315,0.0693,0,0,0,0,25.0,25.0,151.0,151.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180521-105702-711_L2A_T31TCJ_C_V2-2_roi_0.tif,-16 days,2018-05-21,DHP,V6.495,winter wheat,AUZ-10-1-PP,1.50948,43.5261,,,,,,,,,,,
POINT (358504.5631666523 4817843.681727845),2018-05-28,0.042,0.0621,0.081,0.1581,0.1008,0.13,0.147,0.1739,0.1926,0.1295,0,0,0,0,23.0,23.0,23.0,23.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180620-105211-086_L2A_T31TCJ_C_V2-2_roi_0.tif,-23 days,2018-06-20,DHP,V6.495,winter wheat,LAM-3-2,1.24979,43.50013,4.14,4.15,4.14,4.17,3.64,3.85,3.37,5.72,5.61,5.72,4.55
POINT (350890.3057286424 4817092.446168891),2018-05-29,0.0297,0.0499,0.076,0.1457,0.0964,0.1163,0.1324,0.164,0.1669,0.1114,0,0,0,0,23.0,23.0,23.0,23.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180620-105211-086_L2A_T31TCJ_C_V2-2_roi_0.tif,-22 days,2018-06-20,DHP,V6.491,winter wheat,ANJ-28,1.155859,43.491889,2.59,2.47,2.59,2.57,2.13,2.3,2.06,3.66,3.26,3.66,2.69
POINT (379551.1086650125 4820319.096322129),2018-05-30,0.0358,0.0662,0.0826,0.2107,0.1199,0.1734,0.2007,0.2283,0.191,0.1137,0,0,0,0,23.0,23.0,145.0,145.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180620-105211-086_L2A_T31TCJ_C_V2-2_roi_0.tif,-21 days,2018-06-20,DHP,V6.491,winter wheat,AUZ-10-1-PP,1.50948,43.5261,2.79,2.58,2.79,2.76,2.25,2.45,2.21,3.91,3.69,3.91,2.88
POINT (350890.3057286424 4817092.446168891),2018-06-20,0.0297,0.0499,0.076,0.1457,0.0964,0.1163,0.1324,0.164,0.1669,0.1114,0,0,0,0,23.0,23.0,23.0,23.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180620-105211-086_L2A_T31TCJ_C_V2-2_roi_0.tif,0 days,2018-06-20,DHP,V6.495,winter wheat,ANJ-28,1.155859,43.491889,0.19,0.19,0.19,0.2,0.22,0.21,0.17,0.21,0.22,0.21,0.21
POINT (350890.3057286424 4817092.446168891),2018-06-20,0.0341,0.0564,0.0841,0.1484,0.0993,0.1157,0.1309,0.1629,0.1854,0.1246,0,0,0,0,23.0,23.0,23.0,23.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20180625-105253-379_L2A_T31TCJ_C_V2-2_roi_0.tif,-5 days,2018-06-25,DHP,V6.495,winter wheat,ANJ-28,1.155859,43.491889,0.19,0.19,0.19,0.2,0.22,0.21,0.17,0.21,0.22,0.21,0.21
POINT (350890.3057286424 4817092.446168891),2018-06-20,0.0469,0.072,0.1052,0.1712,0.1225,0.1394,0.1595,0.1909,0.2196,0.1433,0,0,0,0,23.0,23.0,23.0,23.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180630-105440-000_L2A_T31TCJ_C_V2-2_roi_0.tif,-10 days,2018-06-30,DHP,V6.495,winter wheat,ANJ-28,1.155859,43.491889,0.19,0.19,0.19,0.2,0.22,0.21,0.17,0.21,0.22,0.21,0.21
POINT (356795.3553948401 4816426.183508198),2018-06-20,0.1011,0.1536,0.2489,0.4039,0.3005,0.3394,0.3768,0.4639,0.5018,0.3046,0,0,0,0,24.0,24.0,24.0,24.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180710-105618-414_L2A_T31TCJ_D_V1-8_roi_0.tif,-20 days,2018-07-10,DHP,V6.495,winter wheat,BLA-1-4,1.229031,43.487047,0.29,0.3,0.29,0.31,0.38,0.33,0.28,0.34,0.35,0.34,0.36
