,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,DHP,CAN-EYE Version,Species,NameESU,X-WGS84,Y-WGS84,PAIeff – CE,PAIeff CE V5.1,PAIeff – P57,PAIeff Miller,"PAIeff – LAI2000, 3 rings","PAIeff – LAI2000, 4 rings","PAIeff – LAI2000, 5 rings",PAItrue – CE,PAItrue – CE V5.1,PAItrue – P57,PAItrue – Miller
0,POINT (353435.8457069093 4811908.316016331),2017-11-28,0.0438,0.0751,0.0462,0.438,0.1199,0.3765,0.4167,0.4395,0.1415,0.0585,0,0,0,0,65,168,1,260,2017-11-27,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-46,1.18872,43.445736,1.28,1.38,1.28,1.31,1.78,1.53,1.3,2.27,1.9,2.27,1.44
1,POINT (354629.49327609537 4814171.369879725),2018-04-04,0.0155,0.0433,0.0187,0.3225,0.0777,0.2702,0.3245,0.3401,0.1312,0.0684,0,0,0,0,45,157,1,264,2018-03-22,13 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180322-105809-862_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,BRA-12-18,1.202861,43.466336,1.88,1.86,1.88,1.88,1.98,1.88,1.66,2.64,2.55,2.64,2.15
2,POINT (354629.49327609537 4814171.369879725),2018-06-20,0.0169,0.0397,0.0191,0.4454,0.0616,0.3018,0.4342,0.4573,0.1102,0.0453,0,0,0,0,27,152,1,264,2018-05-11,40 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,BRA-12-18,1.202861,43.466336,0.07,0.08,0.08,0.09,0.13,0.1,0.08,0.08,0.08,0.08,0.1
3,POINT (354629.49327609537 4814171.369879725),2018-02-27,0.0276,0.0598,0.0398,0.2719,0.1041,0.2434,0.2689,0.277,0.1585,0.083,0,0,0,0,54,158,1,261,2018-02-25,2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20180225-105018-458_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,BRA-12-18,1.202861,43.466336,1.1,1.1,1.1,1.1,1.1,1.12,0.97,1.29,1.14,1.29,1.09
4,POINT (354629.49327609537 4814171.369879725),2018-05-29,0.0169,0.0397,0.0191,0.4454,0.0616,0.3018,0.4342,0.4573,0.1102,0.0453,0,0,0,0,27,152,1,264,2018-05-11,18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.491,winter wheat,BRA-12-18,1.202861,43.466336,3.84,3.73,3.84,3.83,3.38,3.52,3.15,5.25,5.16,5.25,4.04
5,POINT (353638.0316809225 4814562.627098693),2018-04-06,0.0146,0.0309,0.0155,0.4126,0.057,0.3237,0.4112,0.4197,0.0953,0.0478,0,0,0,0,45,157,1,263,2018-03-22,15 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180322-105809-862_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-54,1.190505,43.469664,1.74,1.92,1.74,1.96,2.77,2.31,1.9,2.47,2.34,2.47,2.15
6,POINT (353655.65409015625 4814572.910950634),2018-03-01,0.0391,0.0621,0.0556,0.3111,0.0962,0.2797,0.3187,0.3272,0.14,0.078,0,0,0,0,54,158,1,259,2018-02-25,4 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20180225-105018-458_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-54,1.19072,43.46976,0.83,0.81,0.83,0.8,0.94,0.86,0.77,1.8,1.31,1.8,0.82
7,POINT (353811.9827587786 4814579.515593123),2017-11-28,0.0508,0.0778,0.0706,0.2906,0.1186,0.271,0.2932,0.3043,0.1548,0.0896,0,0,0,0,65,168,1,260,2017-11-27,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-54,1.19265,43.46985,0.59,0.59,0.59,0.58,0.81,0.69,0.6,1.48,1.22,1.48,0.68
8,POINT (353600.3250378505 4814596.336185847),2018-05-28,0.0349,0.0692,0.0364,0.4625,0.1042,0.3779,0.4608,0.4741,0.0878,0.0414,0,0,0,0,27,152,1,263,2018-05-11,17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-54,1.19003,43.46996,2.08,2.04,2.09,2.04,2.0,1.99,1.77,2.58,2.36,2.58,2.17
9,POINT (353600.3250378505 4814596.336185847),2018-05-04,0.0511,0.1527,0.1382,0.5396,0.1961,0.4508,0.5459,0.5581,0.1566,0.0838,0,0,0,0,33,155,1,263,2018-04-21,13 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180421-105629-233_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-54,1.19003,43.46996,2.82,2.81,2.81,2.79,3.26,3.03,2.63,3.23,2.67,3.24,2.84
