,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,Sequent_N,Ref_N,Hour_UTC+1,Operator,Latitude,Longitude,CropHeight,BBCH,Crop-EN,Crop-ES,Crop-FR,Crop-IT,Crop-LA,Crop-PL,Rowsp_(cm),RowOr(deg),SkyCond,LicorLAI,std_Licor,PocketLAI,std_PockLA,AccuPAR,std_AccuPA,Note
0,POINT (539938.0416965974 4578897.975827914),2017-03-16,0.088,0.1049,0.1291,0.2056,0.1503,0.1882,0.203,0.2217,0.2366,0.1923,0,0,0,0,48,156,0,0,2017-03-09,7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170309-095021-464_L2A_T33TWF_D_V1-4_roi_0.tif,1,Sg01_liv2_20170316_LAI,12:11 PM,Colecchia S.A. - De Santis A.P.,41.360597,15.477490,10-30 cm,23,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.630,0.336,,,,,
1,POINT (539938.0416965974 4578897.975827914),2017-05-30,0.0269,0.0546,0.0642,0.2607,0.1068,0.2072,0.2444,0.2836,0.1837,0.1164,0,0,0,0,23,144,0,0,2017-05-28,2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170528-095531-903_L2A_T33TWF_D_V1-4_roi_0.tif,113,Sg01_liv2_20170530_LAI,11:41 AM,Colecchia S.A. - De Santis A.P.,41.360597,15.477490,>50 cm,83,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.186,0.211,,,,,
2,POINT (540589.9914084191 4579297.050422403),2017-05-30,0.0525,0.0804,0.1034,0.2285,0.1372,0.1962,0.2213,0.2519,0.2526,0.1875,0,0,0,0,23,144,0,0,2017-05-28,2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170528-095531-903_L2A_T33TWF_D_V1-4_roi_0.tif,120,Sg08_liv2_20170530_LAI,10:05 AM,Colecchia S.A. - De Santis A.P.,41.364159,15.485311,>50 cm,83,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.460,0.275,,,,,
3,POINT (540589.9914084191 4579297.050422403),2017-03-16,0.0487,0.0624,0.0787,0.1404,0.0964,0.1207,0.1342,0.1498,0.173,0.1298,0,0,0,0,52,157,0,0,2017-02-27,17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170227-095613-409_L2A_T33TWF_D_V1-4_roi_0.tif,8,Sg08_liv2_20170316_LAI,12:45 PM,Colecchia S.A. - De Santis A.P.,41.364159,15.485311,10-30 cm,23,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.550,0.412,,,,,
4,POINT (540029.9819769766 4579471.014889604),2017-03-16,0.0537,0.0707,0.1007,0.1473,0.1086,0.1222,0.1366,0.155,0.1998,0.1542,0,0,0,0,52,157,0,0,2017-02-27,17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170227-095613-409_L2A_T33TWF_D_V1-4_roi_0.tif,2,Sg02_liv2_20170316_LAI,12:24 PM,Colecchia S.A. - De Santis A.P.,41.365754,15.478627,10-30 cm,23,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.500,0.079,,,,,
5,POINT (540029.9819769766 4579471.014889604),2017-05-30,0.0262,0.0538,0.0681,0.2575,0.1136,0.2053,0.2423,0.2785,0.2159,0.1439,0,0,0,0,23,144,0,0,2017-05-28,2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170528-095531-903_L2A_T33TWF_D_V1-4_roi_0.tif,114,Sg02_liv2_20170530_LAI,9:53 AM,Colecchia S.A. - De Santis A.P.,41.365754,15.478627,>50 cm,83,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.282,0.342,,,,,
6,POINT (541059.0038179475 4579703.028974385),2017-03-16,0.0541,0.0734,0.0832,0.2198,0.1181,0.1852,0.2115,0.2372,0.2418,0.1378,0,0,0,0,52,157,0,0,2017-02-27,17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170227-095613-409_L2A_T33TWF_D_V1-4_roi_0.tif,9,Sg09_liv2_20170316_LAI,2:06 PM,Colecchia S.A. - De Santis A.P.,41.367792,15.490946,,,Uncultivated,No cultivado,Inculte,Incolto,,Nieuprawny,,,Sunny - no clouds,2.363,1.172,,,,,Pasture area
7,POINT (541439.9653062258 4579848.96829082),2017-05-30,0.0457,0.0717,0.0879,0.2299,0.13,0.1899,0.2163,0.2443,0.229,0.166,0,0,0,0,23,144,0,0,2017-05-28,2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170528-095531-903_L2A_T33TWF_D_V1-4_roi_0.tif,121,Sg10_liv2_20170530_LAI,9:24 AM,Colecchia S.A. - De Santis A.P.,41.369087,15.495511,>50 cm,83,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.382,0.198,,,,,
8,POINT (541439.9653062258 4579848.96829082),2017-03-16,0.0474,0.0636,0.0812,0.129,0.0959,0.1143,0.1226,0.1374,0.1569,0.1181,0,0,0,0,52,157,0,0,2017-02-27,17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170227-095613-409_L2A_T33TWF_D_V1-4_roi_0.tif,10,Sg10_liv2_20170316_LAI,3:29 PM,Colecchia S.A. - De Santis A.P.,41.369087,15.495511,10-30 cm,23,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.430,0.410,,,,,
9,POINT (540385.9862754412 4579959.037017105),2017-03-16,0.0635,0.081,0.1005,0.1553,0.1166,0.1433,0.1507,0.1683,0.2033,0.1595,0,0,0,0,52,157,0,0,2017-02-27,17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170227-095613-409_L2A_T33TWF_D_V1-4_roi_0.tif,3,Sg03_liv2_20170316_LAI,1:40 PM,Colecchia S.A. - De Santis A.P.,41.370132,15.482916,10-30 cm,23,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.650,0.042,,,,,
