,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,FID_,X_UTM,Y_UTM,StudySite,ESUnumber,CropType,Scientific,CropHeight,Rowspacing,LeafType,PhenoState,RowOrienta,SkyCond,SamplStrat,Irrigation,b_Tilled,Operators,d_observa,LAI_g_B,fCover,LicorLAI,Pocket_LAI,AccuPAR,443_1,490_1,560_1,665_1,705_1,740_1,783_1,842_1,865_1,945_1,1610_1,2190_1
0,POINT (347382.65860110486 4605327.4791159695),2017-06-21,0.0646,0.0921,0.14,0.2243,0.1595,0.1847,0.2081,0.2497,0.2958,0.1869,0,0,0,0,22,141,0,0,2017-06-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,26.0,347382.6586,4605327.479,Greg,27.0,TRIGO,Triticum spp,0.1,0.15,N,SE,30NE,PC,D,R,0.0,VPG,RASTROJO,b,0.0,0.385,0.25,0.576,0.0928,0.1434,0.2017,0.3013,0.3396,0.3607,0.3884,0.4093,0.4363,0.4026,0.4808,0.3121
1,POINT (347344.9054011042 4605422.042115972),2017-06-21,0.1006,0.1494,0.2145,0.3135,0.2431,0.2755,0.3026,0.3383,0.4024,0.2779,0,0,0,0,22,141,0,0,2017-06-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,25.0,347344.9054,4605422.042,Greg,26.0,TRIGO,Triticum spp,0.4,0.15,N,SE,30N,PC,D,R,0.0,VPG,trigo con hierbas dispersas,b,0.0,0.981,1.45,1.274,0.0802,0.1187,0.169,0.2456,0.2896,0.3069,0.3293,0.3388,0.3633,0.3688,0.4405,0.3165
2,POINT (359057.37810102396 4618091.2631161185),2017-06-22,0.0614,0.0865,0.118,0.2135,0.1436,0.1805,0.2034,0.2375,0.2759,0.1817,0,0,0,0,22,140,0,0,2017-06-21,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170621-111222-373_L2A_T30TUM_D_V1-4_roi_0.tif,40.0,359057.3781,4618091.263,ITA,41.0,TRIGO,Triticum spp,0.8,0.2,N,SE,200S,PC,D,I,0.0,VPG,trigo con puas negras,b,0.0,1.64,2.726666667,1.86,0.0607,0.0538,0.0866,0.1258,0.1549,0.1756,0.2028,0.2165,0.2363,0.2985,0.2911,0.1935
3,POINT (358046.8041010323 4618159.4281161195),2017-06-22,0.0795,0.1189,0.126,0.4326,0.2039,0.3451,0.3942,0.4592,0.2365,0.1444,0,0,0,0,22,140,0,0,2017-06-21,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170621-111222-373_L2A_T30TUM_D_V1-4_roi_0.tif,41.0,358046.8041,4618159.428,ITA,42.0,AVENA,Avena sativa,1.0,0.12,N,SE,140SE,PC,D,I,0.0,VPG,avena todavia algo verde y tumbada,b,10.22,3.36,5.163333333,4.0425,0.0766,0.0703,0.1195,0.141,0.2392,0.3298,0.378,0.4399,0.4156,0.376,0.3138,0.2344
4,POINT (356335.0951010438 4618330.178116119),2017-06-22,0.1153,0.1586,0.2278,0.3169,0.2495,0.2804,0.3049,0.3342,0.4033,0.2928,0,0,0,0,22,140,0,0,2017-06-21,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170621-111222-373_L2A_T30TUM_D_V1-4_roi_0.tif,43.0,356335.0951,4618330.178,ITA,44.0,TRIGO,Triticum spp,0.32,0.25,N,SE,70E,PC,D,R,0.0,VPG,trigo malo apenas granado,b,0.0,0.675,0.96,0.66,0.0882,0.1276,0.1872,0.2563,0.2916,0.3076,0.3237,0.3442,0.3564,0.3145,0.4258,0.3177
5,POINT (358320.0548010295 4618390.985116121),2017-06-22,0.1105,0.1519,0.2247,0.3377,0.246,0.2896,0.3162,0.3539,0.4194,0.294,0,0,0,0,22,140,0,0,2017-06-21,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170621-111222-373_L2A_T30TUM_D_V1-4_roi_0.tif,35.0,358320.0548,4618390.985,ITA,36.0,YEROS,Vicia ervilia,0.23,0.15,N,SE,115SE,PC,D,R,0.0,VPG,hierbas verdes dispersas y en la zona mas cercana al ITACYL mucha avena intercalada,b,0.0,0.61,1.253333333,0.608291844,0.095,0.1256,0.173,0.2557,0.2909,0.311,0.3381,0.3619,0.3781,0.3559,0.4499,0.32
6,POINT (359540.7712010216 4618466.894116122),2017-06-22,0.0961,0.14,0.1787,0.4107,0.2197,0.36,0.4064,0.4212,0.3612,0.272,0,0,0,0,22,140,0,0,2017-06-21,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170621-111222-373_L2A_T30TUM_D_V1-4_roi_0.tif,39.0,359540.7712,4618466.894,ITA,40.0,GIRASOL,Helianthus annuus,0.6,0.7,B,FL,210SW,PC,D,I,0.0,VPG,girasol con muchos tipos de plantas distintas intercaladas. boton floral,g,31.25,0.525,0.4,0.956,0.0934,0.099,0.1537,0.1744,0.2269,0.4084,0.4494,0.4526,0.4598,0.4143,0.3632,0.2666
7,POINT (359395.2573010227 4618523.295116112),2017-06-22,0.0779,0.1051,0.1564,0.2328,0.1761,0.2055,0.2281,0.2603,0.3606,0.2543,0,0,0,0,22,140,0,0,2017-06-21,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170621-111222-373_L2A_T30TUM_D_V1-4_roi_0.tif,38.0,359395.2573,4618523.295,ITA,39.0,CEBADA,Hordeum vulgare,0.35,0.15,N,SE,245SW,PC,D,R,0.0,VPG,cebada muy baja,b,0.0,1.13,1.556666667,1.0775,0.0771,0.0885,0.1234,0.1819,0.2122,0.2213,0.2409,0.2501,0.2826,0.2826,0.3911,0.2756
8,POINT (356922.5167010397 4618590.972116125),2017-06-22,0.1201,0.1619,0.2095,0.2709,0.231,0.2459,0.2604,0.284,0.3695,0.3125,0,0,0,0,22,140,0,0,2017-06-21,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170621-111222-373_L2A_T30TUM_D_V1-4_roi_0.tif,49.0,356922.5167,4618590.972,ITA,50.0,Bare soil,,0.0,0.0,,,,,,,0.0,VPG,tillage nivel 2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,POINT (358393.73730102903 4618655.344116115),2017-06-22,0.0519,0.0869,0.0647,0.4688,0.1322,0.3855,0.4796,0.4933,0.221,0.1144,0,0,0,0,22,140,0,0,2017-06-21,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170621-111222-373_L2A_T30TUM_D_V1-4_roi_0.tif,36.0,358393.7373,4618655.344,ITA,37.0,PATATA,Solanum tuberosum,0.7,0.6,B,MA,200S,PC,D,I,0.0,VPG,flor caida no hace mucho,g,0.0,3.31,3.493333333,2.695,0.0527,0.0427,0.0907,0.0573,0.1577,0.446,0.5421,0.5339,0.5363,0.4878,0.2441,0.1402
