geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_filenames,time_delta,s2_date,DHP,CAN-EYEVersion,Species,NameESU,X-WGS84,Y-WGS84,PAIeff–CE,PAIeffCEV5.1,PAIeff–P57,PAIeffMiller,PAIeff–LAI20003rings,PAIeff–LAI20004rings,PAIeff–LAI20005rings,PAItrue–CE,PAItrue–CEV5.1,PAItrue–P57,PAItrue–Miller
POINT (354793.788638311 4814776.053129199),2017-11-27,0.0488,0.0821,0.0735,0.3374,0.1268,0.3097,0.343,0.3494,0.1745,0.1094,0,0,0,0,64.0,168.0,1.0,263.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20171122-105612-379_L2A_T31TCJ_C_V2-2_roi_0.tif,5 days,2017-11-22,DHP,V6.495,winter oilseedrape,BRA-59,1.20473,43.47181,0.98,1.03,0.98,0.93,1.3,1.19,1.0,2.14,1.89,2.14,0.98
POINT (354793.788638311 4814776.053129199),2017-11-27,0.0492,0.0804,0.0747,0.3178,0.1186,0.2894,0.3135,0.3248,0.1709,0.1014,0,0,0,0,63.0,169.0,1.0,260.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171117-105314-464_L2A_T31TCJ_C_V2-2_roi_0.tif,10 days,2017-11-17,DHP,V6.495,winter oilseedrape,BRA-59,1.20473,43.47181,0.98,1.03,0.98,0.93,1.3,1.19,1.0,2.14,1.89,2.14,0.98
POINT (354793.788638311 4814776.053129199),2017-11-27,0.0556,0.0892,0.0957,0.2976,0.1349,0.2638,0.2912,0.3034,0.1997,0.1339,0,0,0,0,60.0,168.0,1.0,259.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171107-105753-766_L2A_T31TCJ_C_V2-2_roi_0.tif,20 days,2017-11-07,DHP,V6.495,winter oilseedrape,BRA-59,1.20473,43.47181,0.98,1.03,0.98,0.93,1.3,1.19,1.0,2.14,1.89,2.14,0.98
POINT (350772.4017245655 4816514.369943631),2017-11-28,0.0454,0.0685,0.068,0.3533,0.1493,0.3186,0.3437,0.3598,0.136,0.0631,0,0,0,0,65.0,168.0,1.0,255.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,1 days,2017-11-27,DHP,V6.495,winter oilseedrape,ANJ-23,1.15456,43.486663,0.64,0.66,0.64,0.66,0.84,0.72,0.63,1.11,0.88,1.12,0.74
POINT (350772.4017245655 4816514.369943631),2017-11-28,0.0489,0.0747,0.0713,0.3841,0.1641,0.3419,0.3691,0.3879,0.1449,0.0748,0,0,0,0,64.0,168.0,1.0,259.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20171122-105612-379_L2A_T31TCJ_C_V2-2_roi_0.tif,6 days,2017-11-22,DHP,V6.495,winter oilseedrape,ANJ-23,1.15456,43.486663,0.64,0.66,0.64,0.66,0.84,0.72,0.63,1.11,0.88,1.12,0.74
POINT (350772.4017245655 4816514.369943631),2017-11-28,0.0472,0.0719,0.0646,0.3724,0.15,0.3412,0.3658,0.3831,0.1504,0.0692,0,0,0,0,63.0,169.0,1.0,254.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171117-105314-464_L2A_T31TCJ_C_V2-2_roi_0.tif,11 days,2017-11-17,DHP,V6.495,winter oilseedrape,ANJ-23,1.15456,43.486663,0.64,0.66,0.64,0.66,0.84,0.72,0.63,1.11,0.88,1.12,0.74
POINT (350772.4017245655 4816514.369943631),2017-11-28,0.0456,0.0786,0.0607,0.4032,0.1475,0.3504,0.3811,0.4042,0.1618,0.0777,0,0,0,0,60.0,168.0,1.0,254.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171107-105753-766_L2A_T31TCJ_C_V2-2_roi_0.tif,21 days,2017-11-07,DHP,V6.495,winter oilseedrape,ANJ-23,1.15456,43.486663,0.64,0.66,0.64,0.66,0.84,0.72,0.63,1.11,0.88,1.12,0.74
POINT (350907.8331654242 4817076.612725374),2017-11-29,0.0747,0.1127,0.1272,0.2103,0.1659,0.2048,0.2152,0.2273,0.2208,0.1641,0,0,0,0,65.0,168.0,1.0,255.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,2 days,2017-11-27,DHP,V6.495,winter wheat,ANJ-28,1.15608,43.49175,0.14,0.14,0.14,0.15,0.13,0.14,0.12,0.16,0.15,0.16,0.15
POINT (350907.8331654242 4817076.612725374),2017-11-29,0.1007,0.1469,0.1816,0.2492,0.2101,0.2409,0.2527,0.2688,0.283,0.24,0,0,0,0,64.0,168.0,1.0,259.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20171122-105612-379_L2A_T31TCJ_C_V2-2_roi_0.tif,7 days,2017-11-22,DHP,V6.495,winter wheat,ANJ-28,1.15608,43.49175,0.14,0.14,0.14,0.15,0.13,0.14,0.12,0.16,0.15,0.16,0.15
POINT (350907.8331654242 4817076.612725374),2017-11-29,0.0962,0.1344,0.1701,0.2296,0.1928,0.2218,0.2269,0.2482,0.2619,0.2117,0,0,0,0,63.0,169.0,1.0,254.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171117-105314-464_L2A_T31TCJ_C_V2-2_roi_0.tif,12 days,2017-11-17,DHP,V6.495,winter wheat,ANJ-28,1.15608,43.49175,0.14,0.14,0.14,0.15,0.13,0.14,0.12,0.16,0.15,0.16,0.15
