,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,DHP,CAN-EYE Version,Species,NameESU,X-WGS84,Y-WGS84,PAIeff – CE,PAIeff CE V5.1,PAIeff – P57,PAIeff Miller,"PAIeff – LAI2000, 3 rings","PAIeff – LAI2000, 4 rings","PAIeff – LAI2000, 5 rings",PAItrue – CE,PAItrue – CE V5.1,PAItrue – P57,PAItrue – Miller
0,POINT (353435.8457069093 4811908.316016331),2017-11-28,0.0357,0.0622,0.0463,0.3706,0.1143,0.3213,0.3531,0.3778,0.1254,0.0572,0,0,0,0,59,160,1,263,2018-02-10,-74 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180210-105158-460_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-46,1.18872,43.445736,1.28,1.38,1.28,1.31,1.78,1.53,1.3,2.27,1.9,2.27,1.44
1,POINT (354629.49327609537 4814171.369879725),2018-04-04,0.0179,0.0333,0.0165,0.41,0.0504,0.275,0.4055,0.4269,0.1137,0.046,0,0,0,0,33,155,1,264,2018-04-21,-17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180421-105629-233_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,BRA-12-18,1.202861,43.466336,1.88,1.86,1.88,1.88,1.98,1.88,1.66,2.64,2.55,2.64,2.15
2,POINT (354629.49327609537 4814171.369879725),2018-06-20,0.0449,0.0781,0.1107,0.2532,0.1461,0.2022,0.2335,0.2717,0.1907,0.1113,0,0,0,0,23,144,1,263,2018-06-20,0 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180620-105211-086_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,BRA-12-18,1.202861,43.466336,0.07,0.08,0.08,0.09,0.13,0.1,0.08,0.08,0.08,0.08,0.1
3,POINT (354629.49327609537 4814171.369879725),2018-02-27,0.0322,0.069,0.0522,0.287,0.1193,0.2532,0.2862,0.2945,0.1702,0.0937,0,0,0,0,52,158,1,264,2018-03-02,-3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180302-105023-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,BRA-12-18,1.202861,43.466336,1.1,1.1,1.1,1.1,1.1,1.12,0.97,1.29,1.14,1.29,1.09
4,POINT (354629.49327609537 4814171.369879725),2018-05-29,0.0449,0.0781,0.1107,0.2532,0.1461,0.2022,0.2335,0.2717,0.1907,0.1113,0,0,0,0,23,144,1,263,2018-06-20,-22 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180620-105211-086_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.491,winter wheat,BRA-12-18,1.202861,43.466336,3.84,3.73,3.84,3.83,3.38,3.52,3.15,5.25,5.16,5.25,4.04
5,POINT (353638.0316809225 4814562.627098693),2018-04-06,0.0523,0.157,0.1412,0.5461,0.1975,0.4537,0.5502,0.5615,0.1577,0.0834,0,0,0,0,33,155,1,263,2018-04-21,-15 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180421-105629-233_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-54,1.190505,43.469664,1.74,1.92,1.74,1.96,2.77,2.31,1.9,2.47,2.34,2.47,2.15
6,POINT (353655.65409015625 4814572.910950634),2018-03-01,0.0441,0.0734,0.0685,0.3385,0.1197,0.3013,0.3403,0.3478,0.1504,0.0841,0,0,0,0,52,158,1,263,2018-03-02,-1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180302-105023-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-54,1.19072,43.46976,0.83,0.81,0.83,0.8,0.94,0.86,0.77,1.8,1.31,1.8,0.82
7,POINT (353811.9827587786 4814579.515593123),2017-11-28,0.0431,0.0662,0.0649,0.2919,0.1126,0.2514,0.2793,0.2867,0.1299,0.0748,0,0,0,0,59,160,1,263,2018-02-10,-74 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180210-105158-460_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-54,1.19265,43.46985,0.59,0.59,0.59,0.58,0.81,0.69,0.6,1.48,1.22,1.48,0.68
8,POINT (353600.3250378505 4814596.336185847),2018-05-28,0.0426,0.0669,0.0976,0.1853,0.1242,0.1488,0.1701,0.2132,0.2037,0.1267,0,0,0,0,23,144,1,262,2018-06-20,-23 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180620-105211-086_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-54,1.19003,43.46996,2.08,2.04,2.09,2.04,2.0,1.99,1.77,2.58,2.36,2.58,2.17
9,POINT (353600.3250378505 4814596.336185847),2018-05-04,0.0349,0.0692,0.0364,0.4625,0.1042,0.3779,0.4608,0.4741,0.0878,0.0414,0,0,0,0,27,152,1,263,2018-05-11,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-54,1.19003,43.46996,2.82,2.81,2.81,2.79,3.26,3.03,2.63,3.23,2.67,3.24,2.84
