geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_filenames,time_delta,s2_date,Sequent_N,Ref_N,Hour_UTC+1,Operator,Latitude,Longitude,CropHeight,BBCH,Crop-EN,Crop-ES,Crop-FR,Crop-IT,Crop-LA,Crop-PL,Rowsp_(cm),RowOr(deg),SkyCond,LicorLAI,std_Licor,PocketLAI,std_PockLA,AccuPAR,std_AccuPA,Note
POINT (539938.0416965974 4578897.975827914),2017-03-16,0.088,0.1049,0.1291,0.2056,0.1503,0.1882,0.203,0.2217,0.2366,0.1923,0,0,0,0,48.0,48.0,48.0,48.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170309-095021-464_L2A_T33TWF_D_V1-4_roi_0.tif,7 days,2017-03-09,1,Sg01_liv2_20170316_LAI,12:11 PM,Colecchia S.A. - De Santis A.P.,41.360597,15.477490,10-30 cm,23,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.630,0.336,,,,,
POINT (539938.0416965974 4578897.975827914),2017-03-16,0.0448,0.0597,0.0787,0.1247,0.0938,0.112,0.1204,0.1378,0.1725,0.1348,0,0,0,0,52.0,52.0,52.0,52.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170227-095613-409_L2A_T33TWF_D_V1-4_roi_0.tif,17 days,2017-02-27,1,Sg01_liv2_20170316_LAI,12:11 PM,Colecchia S.A. - De Santis A.P.,41.360597,15.477490,10-30 cm,23,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.630,0.336,,,,,
POINT (540500.4865393633 4603144.092386315),2017-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,155.0,155.0,155.0,155.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170319-095021-462_L2A_T33TWF_D_V1-4_roi_0.tif,2 days,2017-03-19,22,AA.S_Capitanata.10_2017_LAI,4:30 PM,Riefolo C. - Ruggieri S.,41.578958,15.485842,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.400,0.764,,,,,
POINT (542643.065641156 4596107.745216719),2017-03-21,0.0614,0.0773,0.0757,0.1748,0.1011,0.1621,0.1795,0.1889,0.1617,0.1136,0,0,0,0,48.0,48.0,48.0,48.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170309-095021-464_L2A_T33TWF_D_V1-4_roi_0.tif,12 days,2017-03-09,13,AA.S_Capitanata.01_2017_LAI,11:32 AM,Riefolo C. - Ruggieri S.,41.515470,15.511044,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.900,0.113,,,,,
POINT (540500.4865393633 4603144.092386315),2017-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,153.0,153.0,153.0,153.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170306-094023-459_L2A_T33TWF_D_V1-4_roi_0.tif,15 days,2017-03-06,22,AA.S_Capitanata.10_2017_LAI,4:30 PM,Riefolo C. - Ruggieri S.,41.578958,15.485842,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.400,0.764,,,,,
POINT (542643.065641156 4596107.745216719),2017-03-21,0.0691,0.0885,0.0837,0.1771,0.1111,0.1669,0.181,0.1914,0.1597,0.101,0,0,0,0,52.0,52.0,52.0,52.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170227-095613-409_L2A_T33TWF_D_V1-4_roi_0.tif,22 days,2017-02-27,13,AA.S_Capitanata.01_2017_LAI,11:32 AM,Riefolo C. - Ruggieri S.,41.515470,15.511044,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.900,0.113,,,,,
POINT (540500.4865393633 4603144.092386315),2017-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,154.0,154.0,154.0,154.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170224-094538-339_L2A_T33TWF_D_V1-4_roi_0.tif,25 days,2017-02-24,22,AA.S_Capitanata.10_2017_LAI,4:30 PM,Riefolo C. - Ruggieri S.,41.578958,15.485842,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.400,0.764,,,,,
POINT (544159.8809442123 4606087.590792159),2017-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170319-095021-462_L2A_T33TWF_D_V1-4_roi_0.tif,3 days,2017-03-19,46,AA.S_Capitanata.34_2017_LAI,9:56 AM,Riefolo C. - Ruggieri S.,41.605276,15.529955,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.080,0.170,,,,,
POINT (544159.8809442123 4606087.590792159),2017-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170309-095021-464_L2A_T33TWF_D_V1-4_roi_0.tif,13 days,2017-03-09,46,AA.S_Capitanata.34_2017_LAI,9:56 AM,Riefolo C. - Ruggieri S.,41.605276,15.529955,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.080,0.170,,,,,
POINT (544159.8809442123 4606087.590792159),2017-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170306-094023-459_L2A_T33TWF_D_V1-4_roi_0.tif,16 days,2017-03-06,46,AA.S_Capitanata.34_2017_LAI,9:56 AM,Riefolo C. - Ruggieri S.,41.605276,15.529955,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.080,0.170,,,,,
