,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,Sequent_N,Ref_N,Hour_UTC+1,Operator,Latitude,Longitude,CropHeight,BBCH,Crop-EN,Crop-ES,Crop-FR,Crop-IT,Crop-LA,Crop-PL,Rowsp_(cm),RowOr(deg),SkyCond,LicorLAI,std_Licor,PocketLAI,std_PockLA,AccuPAR,std_AccuPA,Note
0,POINT (541194.9863294407 4590262.735188711),2017-04-05,0.0222,0.0502,0.0236,0.3685,0.0801,0.2969,0.3719,0.3878,0.133,0.0637,0,0,0,0,36,154,0,0,2017-04-08,-3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,75,C_CREA-CI_20170405_LAI,10:30 AM,Colecchia S.A. - De Santis A.P.,41.462899,15.493291,30-50 cm,34,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.843,0.387,,,,,
1,POINT (541531.8999201241 4590288.311550373),2017-06-09,0.055,0.0719,0.0849,0.1469,0.0997,0.1363,0.1477,0.1617,0.2161,0.1865,0,0,0,0,21,140,0,0,2017-06-17,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170617-095546-943_L2A_T33TWG_D_V1-4_roi_0.tif,124,A_Pomodoro_20170609_LAI,9:01 AM,Colecchia S.A. - De Santis A.P.,41.463112,15.497327,10-30 cm,19,Tomato,,,Pomodoro,Solanum licopersicum L.,,180,302,Sunny - no clouds,0.351,0.12,,,,,
2,POINT (541531.8999201241 4590288.311550373),2017-06-21,0.0523,0.0747,0.0761,0.2382,0.1077,0.2099,0.2368,0.2597,0.2154,0.1613,0,0,0,0,22,139,0,0,2017-06-27,-6 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170627-095631-843_L2A_T33TWG_D_V1-4_roi_0.tif,133,A_Pomodoro_20170621_LAI,8:52 AM,Colecchia S.A. - De Santis A.P.,41.463112,15.497327,30-50 cm,70,Tomato,,,Pomodoro,Solanum licopersicum L.,,180,302,Sunny - no clouds,1.336,0.56,,,,,
3,POINT (541531.8999201241 4590288.311550373),2017-06-15,0.055,0.0719,0.0849,0.1469,0.0997,0.1363,0.1477,0.1617,0.2161,0.1865,0,0,0,0,21,140,0,0,2017-06-17,-2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170617-095546-943_L2A_T33TWG_D_V1-4_roi_0.tif,130,A_Pomodoro_20170615_LAI,7:38 AM,Colecchia S.A. - De Santis A.P.,41.463112,15.497327,10-30 cm,61,Tomato,,,Pomodoro,Solanum licopersicum L.,,180,302,Sunny - no clouds,1.620,0.95,,,,,
4,POINT (541531.8999201241 4590288.311550373),2017-06-12,0.055,0.0719,0.0849,0.1469,0.0997,0.1363,0.1477,0.1617,0.2161,0.1865,0,0,0,0,21,140,0,0,2017-06-17,-5 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170617-095546-943_L2A_T33TWG_D_V1-4_roi_0.tif,127,A_Pomodoro_20170612_LAI,2:42 PM,Colecchia S.A. - De Santis A.P.,41.463112,15.497327,10-30 cm,19,Tomato,,,Pomodoro,Solanum licopersicum L.,,180,302,Sunny - no clouds,0.425,0.24,,,,,
5,POINT (541279.8506264635 4590289.420813426),2017-04-05,0.0179,0.0417,0.0149,0.6071,0.0761,0.4328,0.5798,0.609,0.1481,0.0625,0,0,0,0,36,154,0,0,2017-04-08,-3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,76,D_CREA-CI_20170405_LAI,10:44 AM,Colecchia S.A. - De Santis A.P.,41.463135,15.494309,30-50 cm,,Vetch,Arveja,Vesce,Veccia,Vicia L.,Wyka,,,Sunny - no clouds,7.670,0.786,,,,,
6,POINT (541847.3834723461 4590740.439909398),2017-04-05,0.0232,0.0496,0.0204,0.361,0.0774,0.2773,0.346,0.3652,0.1383,0.0659,0,0,0,0,36,154,0,0,2017-04-08,-3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,77,E_CREA-CI_20170405_LAI,11:06 AM,Colecchia S.A. - De Santis A.P.,41.467168,15.501136,30-50 cm,34,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.577,0.175,,,,,
7,POINT (530287.8573465575 4593127.638567491),2017-04-13,0.0176,0.0396,0.0233,0.3777,0.0704,0.2531,0.3518,0.3731,0.1432,0.0767,0,0,0,0,24,147,0,0,2017-05-18,-35 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170518-095716-529_L2A_T33TWG_D_V1-4_roi_0.tif,91,AA.V_LUCERA.FR_20170413_LAI,3:07 PM,Vonella V.,41.489190,15.362830,>50 cm,41,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.768,1.070,,,,,
8,POINT (542377.9594574135 4590304.992224817),2017-05-11,0.0524,0.0685,0.0887,0.2191,0.114,0.1755,0.2057,0.2414,0.2465,0.1715,0,0,0,0,24,147,0,0,2017-05-18,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170518-095716-529_L2A_T33TWG_D_V1-4_roi_0.tif,101,9NT_STRATEGA_20170511_LAI,8:11 AM,Colecchia S.A. - De Santis A.P.,41.463218,15.507459,>50 cm,69,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.985,0.131,,,,,
9,POINT (542305.0288903399 4590309.005795515),2017-05-11,0.0428,0.0596,0.0735,0.1856,0.0984,0.1473,0.1731,0.2081,0.2043,0.1414,0,0,0,0,24,147,0,0,2017-05-18,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170518-095716-529_L2A_T33TWG_D_V1-4_roi_0.tif,94,2CT_STRATEGA_20170511_LAI,8:35 AM,Colecchia S.A. - De Santis A.P.,41.463258,15.506586,>50 cm,69,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.829,0.130,,,,,
