,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,StudySite,ESUnumber,CropType,CropHeight,Rowspacing,LeafType,PhenoState,RowOrienta,SkyCond,SamplStrat,Irrigation,b_Tilled,Operators,d_observa,X_UTM,Y_UTM,LAI_g_B_mi,fCover,LicorLAI,LAI_AccuPA,SD_LAI_Acc,B443_1,B490_1,B560_1,B665_1,B705_1,B740_1,B783_1,B842_1,B865_1,B945_1,B1610_1,B2190_1
0,POINT (339299.3153897313 4601151.983570112),2018-05-11,0.0414,0.0726,0.0545,0.3856,0.1212,0.3129,0.389,0.4237,0.1826,0.1045,0,0,0,0,24,146,1,86,2018-05-22,-11 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2B_20180522-111119-931_L2A_T30TUM_C_V2-2_roi_0.tif,Gsec,2106,MEZCLA AVENA-CEBADA,70.0,10.0,N,MA,paralel to the path,PC,D,R,0,VPG,mezcla de muchos cereales y malas hierbas,339299.315389,4601151.98345,,,,4.006,0.76248278669,,0.0,0.0,,,,,,,,,
1,POINT (339293.0540185919 4601170.966222147),2018-06-28,0.1172,0.1683,0.2429,0.3395,0.2682,0.3002,0.3278,0.3695,0.4512,0.3361,0,0,0,0,22,139,0,85,2018-07-01,-3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2B_20180701-111103-470_L2A_T30TUM_C_V2-2_roi_0.tif,Gsec,4106,MEZCLA AVENA-TRIGO,0.0,0.0,-1,-1,,PC,-1,-1,0,-1,segado. La siega está  en hileras,339293.054017,4601170.96611,,,,0.0,0.0,,0.0,0.0,,,,,,,,,
2,POINT (339227.654661163 4601185.525707796),2018-06-28,0.0366,0.065,0.0648,0.2793,0.1219,0.219,0.2571,0.3038,0.2393,0.1401,0,0,0,0,22,139,1,86,2018-07-01,-3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2B_20180701-111103-470_L2A_T30TUM_C_V2-2_roi_0.tif,Gsec,4104,ALFALFA,0.0,0.0,B,MA,,PC,-1,R,0,-1,,339227.65466,4601185.52559,,,,2.298,0.25839891641,,0.0,0.0,,,,,,,,,
3,POINT (339290.3271112764 4601186.691691096),2018-04-05,0.0358,0.0643,0.0439,0.3691,0.1032,0.2804,0.3449,0.3693,0.1652,0.0843,0,0,0,0,33,152,1,79,2018-04-17,-12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180417-110822-655_L2A_T30TUM_C_V2-2_roi_0.tif,Gsec,106,MEZCLA AVENA-TRIGO,18.0,10.0,N,GU,perpendicular carretera,PC,D,R,1,VPG,por morfología parece Bromo? no tiene aurículas y tiene vaina basal rojiza. puede ser mezcla de Reservo ríos?,339290.32711,4601186.69158,,,,1.136,0.42068990955,,0.0,0.0,,,,,,,,,
4,POINT (339195.63209062535 4601193.628506116),2018-04-05,0.0377,0.0682,0.0521,0.3815,0.1187,0.3354,0.3829,0.4001,0.1844,0.0938,0,0,0,0,33,152,1,79,2018-04-17,-12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180417-110822-655_L2A_T30TUM_C_V2-2_roi_0.tif,Gsec,104,ALFALFA,12.0,12.0,B,GU,N-s. perpendicular al camino,PC,D,R,0,VPG,parece siembra directa. se ve el rastrojo,339195.632089,4601193.62839,,,,0.3,0.18986837546,,0.0,0.0,,,,,,,,,
5,POINT (339290.4095349032 4601195.443585707),2018-06-14,0.0809,0.1425,0.1109,0.4969,0.2221,0.419,0.4852,0.5199,0.2771,0.1583,0,0,0,0,22,140,1,81,2018-06-16,-2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,Gsec,3106,MEZCLA AVENA-TRIGO,90.0,0.0,-1,-1,,CL,D,R,0,VPG,,339290.409534,4601195.44347,,,,2.632,0.58827714557,,0.0,0.0,,,,,,,,,
6,POINT (339220.6146319591 4601203.522991464),2018-06-14,0.033,0.0646,0.0482,0.3822,0.1206,0.3011,0.3596,0.4055,0.1872,0.0928,0,0,0,0,22,140,1,81,2018-06-16,-2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,Gsec,3104,ALFALFA,40.0,0.0,B,FL,,CL,D,R,0,VPG,,339220.614631,4601203.52288,,,,2.94,1.03951911959,,0.0,0.0,,,,,,,,,
7,POINT (339203.1000383684 4601229.810059235),2018-05-11,0.0336,0.0667,0.0409,0.4914,0.103,0.3519,0.4636,0.5118,0.1883,0.0836,0,0,0,0,24,146,1,86,2018-05-22,-11 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2B_20180522-111119-931_L2A_T30TUM_C_V2-2_roi_0.tif,Gsec,2104,ALFALFA,40.0,0.0,B,FL,,PC,D,R,0,VPG,,339203.100037,4601229.80994,,,,3.20666666667,1.91410205231,,0.0,0.0,,,,,,,,,
8,POINT (339282.4678405272 4601257.080770295),2018-04-05,0.1159,0.1722,0.2239,0.3162,0.2443,0.2834,0.3014,0.3191,0.3839,0.3067,0,0,0,0,33,152,1,79,2018-04-17,-12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180417-110822-655_L2A_T30TUM_C_V2-2_roi_0.tif,Gsec,105,LENTEJAS,3.0,10.0,B,EM,paralelo a la carretera,PC,D,R,1,VPG,germano hace pocos dias,339282.467839,4601257.08065,,,,0.062,0.02387467277,,0.0,0.0,,,,,,,,,
9,POINT (339312.18900545593 4601279.943620983),2018-05-11,0.0388,0.0628,0.0628,0.1848,0.099,0.1891,0.2152,0.2229,0.1568,0.1176,0,0,0,0,24,146,1,86,2018-05-22,-11 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2B_20180522-111119-931_L2A_T30TUM_C_V2-2_roi_0.tif,Gsec,2105,LENTEJAS,15.0,12.0,B,GU,paralel to the path,PC,D,R,0,VPG,,339312.189004,4601279.94351,,,,0.602,0.24283739416,,0.0,0.0,,,,,,,,,
