,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,DHP,CAN-EYE Version,Species,NameESU,X-WGS84,Y-WGS84,PAIeff – CE,PAIeff CE V5.1,PAIeff – P57,PAIeff Miller,"PAIeff – LAI2000, 3 rings","PAIeff – LAI2000, 4 rings","PAIeff – LAI2000, 5 rings",PAItrue – CE,PAItrue – CE V5.1,PAItrue – P57,PAItrue – Miller
38,POINT (350907.8331654242 4817076.612725374),2017-11-29,0.1007,0.1469,0.1816,0.2492,0.2101,0.2409,0.2527,0.2688,0.283,0.24,0,0,0,0,64,168,1,259,2017-11-22,7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20171122-105612-379_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,ANJ-28,1.15608,43.49175,0.14,0.14,0.14,0.15,0.13,0.14,0.12,0.16,0.15,0.16,0.15
37,POINT (350838.6390189715 4816703.131275669),2017-11-28,0.0361,0.0595,0.0423,0.4274,0.1124,0.3903,0.446,0.4546,0.1321,0.0496,0,0,0,0,65,168,1,255,2017-11-27,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,ANJ-26,1.155327,43.488375,2.69,2.59,2.69,2.66,3.28,2.94,2.57,5.39,5.13,5.39,3.03
38,POINT (350907.8331654242 4817076.612725374),2017-11-29,0.0747,0.1127,0.1272,0.2103,0.1659,0.2048,0.2152,0.2273,0.2208,0.1641,0,0,0,0,65,168,1,255,2017-11-27,2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,ANJ-28,1.15608,43.49175,0.14,0.14,0.14,0.15,0.13,0.14,0.12,0.16,0.15,0.16,0.15
25,POINT (356686.0020944063 4815435.512701485),2017-11-28,0.0669,0.1021,0.1029,0.3394,0.1497,0.3048,0.3349,0.3525,0.2536,0.1702,0,0,0,0,57,168,1,265,2017-10-28,31 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171028-105128-457_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-5-13-B,1.22794,43.47811,0.84,0.86,0.84,0.85,0.81,0.83,0.71,1.57,1.44,1.57,0.96
0,POINT (353435.8457069093 4811908.316016331),2017-11-28,0.0447,0.077,0.0515,0.3793,0.1168,0.3371,0.3711,0.3809,0.1698,0.0826,0,0,0,0,60,168,1,259,2017-11-07,21 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171107-105753-766_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-46,1.18872,43.445736,1.28,1.38,1.28,1.31,1.78,1.53,1.3,2.27,1.9,2.27,1.44
23,POINT (356583.6979309677 4815001.02553004),2018-02-27,0.0399,0.0756,0.045,0.341,0.1218,0.302,0.3368,0.3486,0.1762,0.0869,0,0,0,0,54,158,1,293,2018-02-25,2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20180225-105018-458_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter barley,PAV-1,1.22679,43.47418,1.39,1.34,1.39,1.36,1.2,1.31,1.14,1.75,1.62,1.75,1.44
110,POINT (379551.10866501246 4820319.0963221295),2018-05-30,0.0247,0.0452,0.0346,0.3091,0.0714,0.2358,0.301,0.3209,0.1375,0.0717,0,0,0,0,27,153,3,292,2018-05-11,19 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.491,winter wheat,AUZ-10-1-PP,1.50948,43.5261,2.79,2.58,2.79,2.76,2.25,2.45,2.21,3.91,3.69,3.91,2.88
7,POINT (353811.9827587786 4814579.515593123),2017-11-28,0.0569,0.0929,0.0927,0.2942,0.1373,0.2744,0.2901,0.3076,0.1926,0.1234,0,0,0,0,63,169,1,259,2017-11-17,11 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171117-105314-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-54,1.19265,43.46985,0.59,0.59,0.59,0.58,0.81,0.69,0.6,1.48,1.22,1.48,0.68
22,POINT (356615.5403563947 4814949.79193479),2018-04-05,0.053,0.0875,0.0731,0.3044,0.1466,0.2764,0.3023,0.3107,0.1843,0.1132,0,0,0,0,45,157,1,296,2018-03-22,14 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180322-105809-862_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter barley,PAV-1,1.227197,43.473725,1.46,1.28,1.46,1.36,1.22,1.3,1.18,1.93,1.62,1.93,1.4
47,POINT (350880.00130164577 4817467.022935166),2017-11-29,0.0409,0.0648,0.0438,0.4299,0.1361,0.3962,0.4384,0.4525,0.1329,0.0545,0,0,0,0,64,168,1,258,2017-11-22,7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20171122-105612-379_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,ANJ-29,1.155629,43.495258,1.17,1.17,1.17,1.16,1.42,1.3,1.13,2.22,1.66,2.23,1.17
