,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,Sequent_N,Ref_N,Hour_UTC+1,Operator,Latitude,Longitude,CropHeight,BBCH,Crop-EN,Crop-ES,Crop-FR,Crop-IT,Crop-LA,Crop-PL,Rowsp_(cm),RowOr(deg),SkyCond,LicorLAI,std_Licor,PocketLAI,std_PockLA,AccuPAR,std_AccuPA,Note
47,POINT (541279.8506264635 4590289.420813426),2017-04-05,0.0572,0.0908,0.057,0.4517,0.1256,0.3986,0.4525,0.4651,0.1998,0.0974,0,0,0,0,52,157,0,0,2017-02-27,37 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170227-095613-409_L2A_T33TWF_D_V1-4_roi_0.tif,76,D_CREA-CI_20170405_LAI,10:44 AM,Colecchia S.A. - De Santis A.P.,41.463135,15.494309,30-50 cm,,Vetch,Arveja,Vesce,Veccia,Vicia L.,Wyka,,,Sunny - no clouds,7.670,0.786,,,,,
23,POINT (541994.9901280974 4580882.991854105),2017-03-16,0.0941,0.116,0.1317,0.2339,0.1606,0.2143,0.2342,0.2493,0.2368,0.1884,0,0,0,0,48,156,0,0,2017-03-09,7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170309-095021-464_L2A_T33TWF_D_V1-4_roi_0.tif,7,Sg07_liv2_20170316_LAI,11:08 AM,Colecchia S.A. - De Santis A.P.,41.378372,15.502219,10-30 cm,23,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.907,0.401,,,,,
24,POINT (541950.6824125904 4588682.901636593),2017-04-13,0.0387,0.0569,0.0345,0.2833,0.0748,0.2381,0.2866,0.2901,0.1127,0.0605,0,0,0,0,48,156,0,0,2017-03-09,35 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170309-095021-464_L2A_T33TWF_D_V1-4_roi_0.tif,83,AA.V_P15_20170413_LAI,8:39 AM,Vonella V.,41.448630,15.502230,>50 cm,41,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,5.588,0.605,,,,,
25,POINT (542002.3350055828 4588706.516250123),2017-04-13,0.0341,0.0503,0.0322,0.251,0.0638,0.2114,0.2608,0.2664,0.1001,0.0538,0,0,0,0,48,156,0,0,2017-03-09,35 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170309-095021-464_L2A_T33TWF_D_V1-4_roi_0.tif,84,AA.V_P16_20170413_LAI,8:46 AM,Vonella V.,41.448840,15.502850,>50 cm,41,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,4.160,0.313,,,,,
26,POINT (541946.6584585834 4588800.562083719),2017-04-13,0.0375,0.0515,0.0319,0.2533,0.0673,0.2074,0.2543,0.2628,0.1054,0.0575,0,0,0,0,48,156,0,0,2017-03-09,35 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170309-095021-464_L2A_T33TWF_D_V1-4_roi_0.tif,85,AA.V_P20_20170413_LAI,9:11 AM,Vonella V.,41.449690,15.502190,>50 cm,41,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,5.016,0.579,,,,,
52,POINT (542305.0288903399 4590309.005795515),2017-03-29,0.0649,0.0789,0.0766,0.156,0.0976,0.1419,0.1539,0.166,0.1575,0.1005,0,0,0,0,52,157,0,0,2017-02-27,30 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170227-095613-409_L2A_T33TWF_D_V1-4_roi_0.tif,64,2CT_STRATEGA_20170329_LAI,10:44 AM,Colecchia S.A. - De Santis A.P.,41.463258,15.506586,30-50 cm,32,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.390,0.198,,,,,
28,POINT (542237.0408325597 4589896.047553013),2017-03-29,0.0623,0.0774,0.0752,0.1752,0.1029,0.1585,0.1726,0.1865,0.1705,0.1267,0,0,0,0,48,156,0,0,2017-03-09,20 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170309-095021-464_L2A_T33TWF_D_V1-4_roi_0.tif,68,6CT_STRATEGA_20170329_LAI,10:09 AM,Colecchia S.A. - De Santis A.P.,41.459542,15.505743,30-50 cm,32,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.753,0.194,,,,,
54,POINT (542359.9657650598 4590453.990368482),2017-03-29,0.0806,0.1031,0.1194,0.2083,0.1424,0.1861,0.2022,0.2214,0.2633,0.1852,0,0,0,0,52,157,0,0,2017-02-27,30 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170227-095613-409_L2A_T33TWF_D_V1-4_roi_0.tif,63,1NT_STRATEGA_20170329_LAI,10:36 AM,Colecchia S.A. - De Santis A.P.,41.464561,15.507254,30-50 cm,32,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.855,0.219,,,,,
55,POINT (542327.3405707839 4590591.8005685955),2017-04-05,0.0559,0.0732,0.0583,0.2059,0.0907,0.1812,0.2023,0.2137,0.1332,0.0763,0,0,0,0,52,157,0,0,2017-02-27,37 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170227-095613-409_L2A_T33TWF_D_V1-4_roi_0.tif,78,F_CREA-CI_20170405_LAI,11:24 AM,Colecchia S.A. - De Santis A.P.,41.465804,15.506873,30-50 cm,34,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,4.533,0.155,,,,,
31,POINT (542164.1740446985 4589960.015227648),2017-03-29,0.0712,0.0869,0.0948,0.2027,0.1231,0.1767,0.1956,0.2103,0.2354,0.1697,0,0,0,0,48,156,0,0,2017-03-09,20 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170309-095021-464_L2A_T33TWF_D_V1-4_roi_0.tif,67,5NT_STRATEGA_20170329_LAI,10:57 AM,Colecchia S.A. - De Santis A.P.,41.460122,15.504875,30-50 cm,32,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.883,0.116,,,,,
