,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,Sequent_N,Ref_N,Hour_UTC+1,Operator,Latitude,Longitude,CropHeight,BBCH,Crop-EN,Crop-ES,Crop-FR,Crop-IT,Crop-LA,Crop-PL,Rowsp_(cm),RowOr(deg),SkyCond,LicorLAI,std_Licor,PocketLAI,std_PockLA,AccuPAR,std_AccuPA,Note
36,POINT (543300.3164982036 4597159.284458977),2017-03-21,0.0302,0.0483,0.0261,0.3002,0.0678,0.258,0.3161,0.3356,0.1235,0.0597,0,0,0,0,48,156,0,0,2017-03-09,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,18,AA.S_Capitanata.06_2017_LAI,12:11 PM,Riefolo C. - Ruggieri S.,41.524906,15.518996,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.365,0.262,,,,,
38,POINT (545413.9190740222 4599483.047504193),2017-03-21,0.0773,0.0965,0.1013,0.2631,0.1296,0.2302,0.2601,0.2769,0.2061,0.16,0,0,0,0,48,156,0,0,2017-03-09,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,44,AA.S_Capitanata.32_2017_LAI,6:41 PM,Riefolo C. - Ruggieri S.,41.545719,15.544504,30-50 cm,19,Brocoli,,,Broccolo,Brassica oleracea var. italica,,,,Sunny - no clouds,1.590,0.940,,,,,
39,POINT (545291.7967621884 4599538.235425475),2017-03-21,0.0581,0.0775,0.078,0.2012,0.1068,0.188,0.2066,0.2234,0.1959,0.1437,0,0,0,0,48,156,0,0,2017-03-09,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,43,AA.S_Capitanata.31_2017_LAI,6:39 PM,Riefolo C. - Ruggieri S.,41.546223,15.543044,10-30 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.990,0.170,,,,,
40,POINT (545499.6315616664 4600795.128986841),2017-03-21,0.0412,0.0591,0.0481,0.1886,0.0827,0.1732,0.1904,0.2025,0.1544,0.0976,0,0,0,0,48,156,0,0,2017-03-09,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,41,AA.S_Capitanata.29_2017_LAI,6:28 PM,Riefolo C. - Ruggieri S.,41.557532,15.545631,10-30 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.540,0.000,,,,,
41,POINT (545637.6134557134 4600800.332000629),2017-03-21,0.0436,0.0657,0.0501,0.2059,0.0887,0.1858,0.204,0.216,0.1597,0.0983,0,0,0,0,48,156,0,0,2017-03-09,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,42,AA.S_Capitanata.30_2017_LAI,6:30 PM,Riefolo C. - Ruggieri S.,41.557571,15.547286,10-30 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.900,0.410,,,,,
42,POINT (545787.6314331995 4603331.335690762),2017-03-21,0.0326,0.0532,0.0376,0.2772,0.0757,0.233,0.2829,0.2974,0.1425,0.0797,0,0,0,0,48,156,0,0,2017-03-09,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,40,AA.S_Capitanata.28_2017_LAI,6:18 PM,Riefolo C. - Ruggieri S.,41.580359,15.549278,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.630,0.620,,,,,
43,POINT (545635.2505255968 4603448.499221022),2017-03-21,0.0371,0.0603,0.0498,0.2113,0.0902,0.1892,0.2138,0.224,0.1599,0.1072,0,0,0,0,48,156,0,0,2017-03-09,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,39,AA.S_Capitanata.27_2017_LAI,6:17 PM,Riefolo C. - Ruggieri S.,41.581423,15.547459,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.030,0.170,,,,,
44,POINT (546316.2616701317 4604040.066811672),2017-03-21,0.048,0.0652,0.0671,0.1915,0.0969,0.1732,0.1892,0.2047,0.1709,0.1279,0,0,0,0,48,156,0,0,2017-03-09,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,38,AA.S_Capitanata.26_2017_LAI,6:10 PM,Riefolo C. - Ruggieri S.,41.586712,15.555674,10-30 cm,35,Horse beans,,,Favino,Vicia Faba var. minor Beck.,,,,Sunny - no clouds,2.250,0.140,,,,,
18,POINT (530328.5464690344 4593178.879131289),2017-04-13,0.0835,0.1182,0.1299,0.2851,0.1671,0.2534,0.2717,0.2937,0.2689,0.2137,0,0,0,0,36,154,0,0,2017-04-08,5 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,92,AA.V_LUCERA.CE_20170413_LAI,3:31 PM,Vonella V.,41.489650,15.363320,30-50 cm,51,Chickpea,,,Cece,Cicer arietinum L.,,,,Sunny - no clouds,1.896,0.257,,,,,
46,POINT (546373.7502639719 4604186.436442368),2017-03-21,0.0186,0.0329,0.0115,0.4078,0.0529,0.2954,0.3995,0.4066,0.1167,0.0484,0,0,0,0,48,156,0,0,2017-03-09,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,37,AA.S_Capitanata.25_2017_LAI,6:09 PM,Riefolo C. - Ruggieri S.,41.588027,15.556375,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.810,0.500,,,,,
