,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,DHP,CAN-EYE Version,Species,NameESU,X-WGS84,Y-WGS84,PAIeff – CE,PAIeff CE V5.1,PAIeff – P57,PAIeff Miller,"PAIeff – LAI2000, 3 rings","PAIeff – LAI2000, 4 rings","PAIeff – LAI2000, 5 rings",PAItrue – CE,PAItrue – CE V5.1,PAItrue – P57,PAItrue – Miller
86,POINT (357331.6090905318 4816920.680958408),2018-06-20,0.0305,0.0532,0.0762,0.1813,0.1023,0.1401,0.164,0.2006,0.1678,0.1085,0,0,0,0,23,144,1,296,2018-06-20,0 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180620-105211-086_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,BLA-4,1.23553,43.4916,0.06,0.08,0.06,0.05,0.14,0.1,0.09,0.06,0.09,0.07,0.05
105,POINT (358504.56316665234 4817843.681727845),2018-05-04,0.025,0.0482,0.0298,0.3403,0.0746,0.257,0.3286,0.3506,0.1208,0.058,0,0,0,0,27,152,2,296,2018-05-11,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,LAM-3-2,1.24979,43.50013,3.39,3.43,3.39,3.4,3.0,3.09,2.74,4.88,4.95,4.88,3.86
106,POINT (358504.56316665234 4817843.681727845),2018-03-01,0.025,0.0482,0.0298,0.3403,0.0746,0.257,0.3286,0.3506,0.1208,0.058,0,0,0,0,27,152,2,296,2018-05-11,-71 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,LAM-3-2,1.24979,43.50013,1.45,1.41,1.44,1.41,1.66,1.52,1.35,1.67,1.46,1.67,1.47
29,POINT (356867.32290124556 4815477.210606028),2018-02-27,0.0453,0.0686,0.0714,0.3405,0.1302,0.2983,0.3351,0.3518,0.1542,0.0843,0,0,0,0,52,158,1,296,2018-03-02,-3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180302-105023-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-5-13,1.23017,43.47852,0.74,0.7,0.74,0.75,0.93,0.8,0.71,1.13,1.03,1.13,0.85
30,POINT (353927.8194270128 4814833.227965947),2018-03-01,0.0435,0.0712,0.064,0.3426,0.1183,0.3019,0.3438,0.3524,0.1447,0.0771,0,0,0,0,52,158,1,263,2018-03-02,-1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180302-105023-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-70,1.1940134,43.472156,1.06,1.01,1.06,1.04,1.2,1.11,0.99,2.12,1.53,2.13,1.06
91,POINT (360267.4995054506 4814089.146769378),2018-05-28,0.0502,0.0773,0.1068,0.2003,0.1349,0.1658,0.1866,0.227,0.2183,0.1383,0,0,0,0,23,144,2,296,2018-06-20,-23 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180620-105211-086_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BOX-3,1.27255,43.46667,1.94,1.99,1.94,1.95,2.09,1.98,1.73,2.42,2.25,2.42,2.01
4,POINT (354629.49327609537 4814171.369879725),2018-05-29,0.059,0.0925,0.1398,0.2424,0.1659,0.2034,0.2284,0.2679,0.2465,0.1528,0,0,0,0,23,143,1,264,2018-06-30,-32 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180630-105440-000_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.491,winter wheat,BRA-12-18,1.202861,43.466336,3.84,3.73,3.84,3.83,3.38,3.52,3.15,5.25,5.16,5.25,4.04
111,POINT (379551.10866501246 4820319.0963221295),2018-05-05,0.0247,0.0452,0.0346,0.3091,0.0714,0.2358,0.301,0.3209,0.1375,0.0717,0,0,0,0,27,153,3,292,2018-05-11,-6 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,AUZ-10-1-PP,1.50948,43.5261,,,,,,,,,,,
112,POINT (379551.10866501246 4820319.0963221295),2018-04-03,0.0247,0.0452,0.0346,0.3091,0.0714,0.2358,0.301,0.3209,0.1375,0.0717,0,0,0,0,27,153,3,292,2018-05-11,-38 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,AUZ-10-1-PP,1.50948,43.5261,1.71,1.65,1.71,1.64,1.43,1.52,1.37,2.31,1.99,2.31,1.69
95,POINT (365017.2834146758 4818096.829159316),2018-05-28,0.0269,0.0595,0.0446,0.3617,0.1109,0.2861,0.3361,0.3628,0.177,0.0885,0,0,0,0,23,144,2,294,2018-06-20,-23 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180620-105211-086_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.491,winter wheat,PAV-17,1.330251,43.503613,3.8,3.6,3.8,3.76,2.98,3.26,2.97,4.69,4.38,4.69,3.95
