,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,Sequent_N,Ref_N,Hour_UTC+1,Operator,Latitude,Longitude,CropHeight,BBCH,Crop-EN,Crop-ES,Crop-FR,Crop-IT,Crop-LA,Crop-PL,Rowsp_(cm),RowOr(deg),SkyCond,LicorLAI,std_Licor,PocketLAI,std_PockLA,AccuPAR,std_AccuPA,Note
30,POINT (542164.1740446985 4589960.015227648),2017-05-11,0.0231,0.0448,0.0439,0.2527,0.0875,0.1841,0.223,0.2542,0.2116,0.1342,0,0,0,0,24,147,0,0,2017-05-18,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170518-095716-529_L2A_T33TWF_D_V1-4_roi_0.tif,97,5NT_STRATEGA_20170511_LAI,8:57 AM,Colecchia S.A. - De Santis A.P.,41.460122,15.504875,>50 cm,69,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.947,0.146,,,,,
43,POINT (541531.8999201241 4590288.311550373),2017-06-09,0.0645,0.0873,0.0917,0.2466,0.1217,0.2186,0.2451,0.2679,0.2224,0.1645,0,0,0,0,22,139,0,0,2017-06-27,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170627-095631-843_L2A_T33TWF_D_V1-4_roi_0.tif,124,A_Pomodoro_20170609_LAI,9:01 AM,Colecchia S.A. - De Santis A.P.,41.463112,15.497327,10-30 cm,19,Tomato,,,Pomodoro,Solanum licopersicum L.,,180,302,Sunny - no clouds,0.351,0.12,,,,,
44,POINT (541531.8999201241 4590288.311550373),2017-06-21,0.0645,0.0873,0.0917,0.2466,0.1217,0.2186,0.2451,0.2679,0.2224,0.1645,0,0,0,0,22,139,0,0,2017-06-27,-6 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170627-095631-843_L2A_T33TWF_D_V1-4_roi_0.tif,133,A_Pomodoro_20170621_LAI,8:52 AM,Colecchia S.A. - De Santis A.P.,41.463112,15.497327,30-50 cm,70,Tomato,,,Pomodoro,Solanum licopersicum L.,,180,302,Sunny - no clouds,1.336,0.56,,,,,
33,POINT (542283.1637173623 4590035.206695756),2017-05-11,0.0315,0.0501,0.0574,0.233,0.0927,0.1762,0.2139,0.253,0.2119,0.1364,0,0,0,0,24,147,0,0,2017-05-18,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170518-095716-529_L2A_T33TWF_D_V1-4_roi_0.tif,99,7NT_STRATEGA_20170511_LAI,7:56 AM,Colecchia S.A. - De Santis A.P.,41.460793,15.506305,>50 cm,69,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.345,0.190,,,,,
34,POINT (542216.6252111852 4590059.6867779605),2017-05-11,0.0261,0.0449,0.0499,0.1971,0.0841,0.1529,0.1863,0.2183,0.1878,0.1213,0,0,0,0,24,147,0,0,2017-05-18,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170518-095716-529_L2A_T33TWF_D_V1-4_roi_0.tif,96,4CT_STRATEGA_20170511_LAI,8:50 AM,Colecchia S.A. - De Santis A.P.,41.461017,15.505510,>50 cm,69,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.065,0.175,,,,,
75,POINT (542752.3937718363 4589309.213884276),2017-06-15,0.0156,0.0499,0.0034,0.6373,0.0793,0.4748,0.6189,0.6557,0.179,0.0762,0,0,0,0,22,139,1,253,2017-07-02,-17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2B_20170702-095713-527_L2A_T33TWF_D_V1-7_roi_0.tif,131,B_Pomodoro_20170615_LAI,7:24 AM,Colecchia S.A. - De Santis A.P.,41.454229,15.511872,10-30 cm,61,Tomato,,,Pomodoro,Solanum licopersicum L.,,160,331,Sunny - no clouds,2.804,1.25,,,,,
76,POINT (543066.8277838087 4589399.565623091),2017-06-09,0.022,0.0521,0.0178,0.5196,0.0849,0.4031,0.5059,0.5325,0.1975,0.1069,0,0,0,0,22,139,1,253,2017-07-02,-23 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2B_20170702-095713-527_L2A_T33TWF_D_V1-7_roi_0.tif,126,C_Pomodoro_20170609_LAI,9:49 AM,Colecchia S.A. - De Santis A.P.,41.455026,15.515643,10-30 cm,19,Tomato,,,Pomodoro,Solanum licopersicum L.,,160,330,Sunny - no clouds,0.488,0.25,,,,,
37,POINT (542333.9698992979 4590172.950325534),2017-05-11,0.0406,0.0597,0.08,0.1789,0.0957,0.1376,0.1639,0.195,0.2157,0.1557,0,0,0,0,24,147,0,0,2017-05-18,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170518-095716-529_L2A_T33TWF_D_V1-4_roi_0.tif,100,8CT_STRATEGA_20170511_LAI,8:03 AM,Colecchia S.A. - De Santis A.P.,41.462031,15.506923,>50 cm,69,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.021,0.192,,,,,
38,POINT (542263.0089551402 4590196.959973673),2017-05-11,0.0372,0.0573,0.0731,0.2167,0.1045,0.1649,0.2007,0.2392,0.2452,0.1664,0,0,0,0,24,147,0,0,2017-05-18,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170518-095716-529_L2A_T33TWF_D_V1-4_roi_0.tif,95,3NT_STRATEGA_20170511_LAI,8:42 AM,Colecchia S.A. - De Santis A.P.,41.462251,15.506075,>50 cm,69,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.018,0.122,,,,,
79,POINT (543066.8277838087 4589399.565623091),2017-06-12,0.022,0.0521,0.0178,0.5196,0.0849,0.4031,0.5059,0.5325,0.1975,0.1069,0,0,0,0,22,139,1,253,2017-07-02,-20 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2B_20170702-095713-527_L2A_T33TWF_D_V1-7_roi_0.tif,129,C_Pomodoro_20170612_LAI,12:08 PM,Colecchia S.A. - De Santis A.P.,41.455026,15.515643,10-30 cm,19,Tomato,,,Pomodoro,Solanum licopersicum L.,,160,330,Sunny - no clouds,0.347,0.33,,,,,
