,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,Sequent_N,Ref_N,Hour_UTC+1,Operator,Latitude,Longitude,CropHeight,BBCH,Crop-EN,Crop-ES,Crop-FR,Crop-IT,Crop-LA,Crop-PL,Rowsp_(cm),RowOr(deg),SkyCond,LicorLAI,std_Licor,PocketLAI,std_PockLA,AccuPAR,std_AccuPA,Note
2,POINT (541531.8999201241 4590288.311550373),2017-06-21,0.0858,0.1095,0.1411,0.1849,0.1513,0.1688,0.1798,0.2055,0.2803,0.2398,0,0,0,0,40,158,1,255,2017-09-15,-86 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170915-095829-898_L2A_T33TWG_D_V1-7_roi_0.tif,133,A_Pomodoro_20170621_LAI,8:52 AM,Colecchia S.A. - De Santis A.P.,41.463112,15.497327,30-50 cm,70,Tomato,,,Pomodoro,Solanum licopersicum L.,,180,302,Sunny - no clouds,1.336,0.56,,,,,
10,POINT (542305.0288903399 4590309.005795515),2017-03-29,0.0316,0.0572,0.0398,0.2552,0.0902,0.2233,0.2558,0.2743,0.1649,0.0949,0,0,0,0,36,154,0,0,2017-04-08,-10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,64,2CT_STRATEGA_20170329_LAI,10:44 AM,Colecchia S.A. - De Santis A.P.,41.463258,15.506586,30-50 cm,32,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.390,0.198,,,,,
4,POINT (541531.8999201241 4590288.311550373),2017-06-12,0.0858,0.1095,0.1411,0.1849,0.1513,0.1688,0.1798,0.2055,0.2803,0.2398,0,0,0,0,40,158,1,255,2017-09-15,-95 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170915-095829-898_L2A_T33TWG_D_V1-7_roi_0.tif,127,A_Pomodoro_20170612_LAI,2:42 PM,Colecchia S.A. - De Santis A.P.,41.463112,15.497327,10-30 cm,19,Tomato,,,Pomodoro,Solanum licopersicum L.,,180,302,Sunny - no clouds,0.425,0.24,,,,,
12,POINT (542359.9657650598 4590453.990368482),2017-03-29,0.0457,0.0713,0.0664,0.2457,0.1104,0.2139,0.2438,0.2686,0.2333,0.1488,0,0,0,0,36,154,0,0,2017-04-08,-10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,63,1NT_STRATEGA_20170329_LAI,10:36 AM,Colecchia S.A. - De Santis A.P.,41.464561,15.507254,30-50 cm,32,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.855,0.219,,,,,
13,POINT (542327.3405707839 4590591.8005685955),2017-04-05,0.0149,0.0387,0.0117,0.4207,0.0616,0.312,0.4235,0.4373,0.1408,0.0569,0,0,0,0,36,154,0,0,2017-04-08,-3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,78,F_CREA-CI_20170405_LAI,11:24 AM,Colecchia S.A. - De Santis A.P.,41.465804,15.506873,30-50 cm,34,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,4.533,0.155,,,,,
14,POINT (541995.7177933671 4598709.901919121),2017-03-21,0.0129,0.0296,0.0113,0.3702,0.0489,0.259,0.3699,0.3834,0.13,0.0584,0,0,0,0,36,154,0,0,2017-04-08,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,20,AA.S_Capitanata.08_2017_LAI,12:37 PM,Riefolo C. - Ruggieri S.,41.538942,15.503468,30-50 cm,19,Spinach,,,Spinacio,Spinacia oleracea L.,,,,Sunny - no clouds,6.675,0.345,,,,,
15,POINT (541997.9295486691 4598802.731053609),2017-03-21,0.0122,0.0271,0.0101,0.4069,0.0419,0.2721,0.4128,0.434,0.1207,0.0491,0,0,0,0,36,154,0,0,2017-04-08,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,19,AA.S_Capitanata.07_2017_LAI,12:27 PM,Riefolo C. - Ruggieri S.,41.539778,15.503501,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.295,0.389,,,,,
16,POINT (542122.2918367481 4610064.080860262),2017-03-22,0.0225,0.0432,0.0218,0.3438,0.0685,0.2799,0.3418,0.3485,0.104,0.0448,0,0,0,0,36,154,0,0,2017-04-08,-17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,54,AA.S_Capitanata.42_2017_LAI,11:04 AM,Riefolo C. - Ruggieri S.,41.641202,15.505783,10-30 cm,35,Horse beans,,,Favino,Vicia Faba var. minor Beck.,,,,Sunny - no clouds,0.600,0.000,,,,,
17,POINT (542221.2856432016 4610168.582795444),2017-03-22,0.0112,0.0264,0.0087,0.3583,0.0472,0.2499,0.3461,0.3647,0.1012,0.0433,0,0,0,0,36,154,0,0,2017-04-08,-17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,55,AA.S_Capitanata.43_2017_LAI,11:06 AM,Riefolo C. - Ruggieri S.,41.642138,15.506979,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.030,0.160,,,,,
7,POINT (530287.8573465575 4593127.638567491),2017-04-13,0.1548,0.2221,0.3247,0.4427,0.3692,0.4072,0.437,0.4847,0.4512,0.287,0,0,0,0,31,149,0,213,2017-08-16,-125 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170816-095737-181_L2A_T33TWG_D_V1-7_roi_0.tif,91,AA.V_LUCERA.FR_20170413_LAI,3:07 PM,Vonella V.,41.489190,15.362830,>50 cm,41,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.768,1.070,,,,,
19,POINT (540500.4865393633 4603144.092386315),2017-03-21,0.0109,0.0211,0.0062,0.484,0.0369,0.2834,0.4713,0.5014,0.1199,0.046,0,0,0,0,36,154,0,0,2017-04-08,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,22,AA.S_Capitanata.10_2017_LAI,4:30 PM,Riefolo C. - Ruggieri S.,41.578958,15.485842,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.400,0.764,,,,,
