,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,FID_,X_UTM,Y_UTM,StudySite,ESUnumber,CropType,Scientific,CropHeight,Rowspacing,LeafType,PhenoState,RowOrienta,SkyCond,SamplStrat,Irrigation,b_Tilled,Operators,d_observa,LAI_g_B,fCover,LicorLAI,Pocket_LAI,AccuPAR,443_1,490_1,560_1,665_1,705_1,740_1,783_1,842_1,865_1,945_1,1610_1,2190_1
44,POINT (344602.8609011334 4626439.809116206),2017-06-20,0.0242,0.0637,0.0217,0.6063,0.0986,0.4714,0.6026,0.6167,0.1297,0.0497,0,0,0,0,25,141,1,82,2017-07-21,-31 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170721-110758-871_L2A_T30TUM_D_V1-7_roi_0.tif,4.0,344602.8609,4626439.809,MR,5.0,REMOLACHA,Beta vulgaris,0.0,0.0,B,GU,190S,OV,D,IP,0.0,VPG,"remolacha antes de pasar el pivot de regadio. hojas lacias, no turgentes",g,0.0,1.78,1.633333333,2.25758681,0.0426,0.0309,0.0735,0.0277,0.1197,0.4345,0.529,0.536,0.5465,0.4694,0.1725,0.0787
45,POINT (343883.30400113866 4626515.711116205),2017-06-20,0.0879,0.1321,0.2032,0.2667,0.2142,0.234,0.2523,0.2748,0.4185,0.3299,0,0,0,0,25,141,1,83,2017-07-21,-31 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170721-110758-871_L2A_T30TUM_D_V1-7_roi_0.tif,0.0,343883.304,4626515.711,MR,1.0,TRIGO,Triticum spp,0.45,0.0,N,SE,,PC,D,R,0.0,VPG,misma parcela que ESU1. puntoA_ESU2,b,0.0,1.16,2.333333333,1.662344675,0.0694,0.0723,0.1104,0.1685,0.1992,0.2136,0.2275,0.2428,0.2551,0.2877,0.3593,0.2383
46,POINT (343999.6535011378 4626544.223116207),2017-06-20,0.0846,0.1244,0.1839,0.2456,0.2043,0.2215,0.2422,0.265,0.4163,0.3261,0,0,0,0,25,141,1,83,2017-07-21,-31 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170721-110758-871_L2A_T30TUM_D_V1-7_roi_0.tif,1.0,343999.6535,4626544.223,MR,2.0,TRIGO,Triticum spp,0.45,0.0,N,SE,71ENE,PC,D,R,0.0,VPG,puntoB_ESU1,b,0.0,1.32,2.113333333,1.455,0.0659,0.0753,0.106,0.1667,0.199,0.2118,0.2288,0.24,0.2625,0.2965,0.3459,0.232
47,POINT (344173.8794011355 4626553.586116207),2017-06-20,0.0666,0.1049,0.148,0.2981,0.1831,0.2611,0.2894,0.3148,0.3765,0.2787,0,0,0,0,25,141,1,83,2017-07-21,-31 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170721-110758-871_L2A_T30TUM_D_V1-7_roi_0.tif,2.0,344173.8794,4626553.586,MR,3.0,YEROS,Vicia ervilia,0.2,0.14,N,SE,170S,OV,D,R,0.0,VPG,lai mixto,b,0.0,0.639,0.79,0.544285714,0.0691,0.0802,0.1264,0.2003,0.2464,0.2821,0.3131,0.3215,0.3425,0.3524,0.4271,0.3097
48,POINT (345558.2730921254 4626467.6729861945),2017-07-21,0.0485,0.0717,0.1116,0.168,0.1216,0.1354,0.1527,0.182,0.247,0.1675,0,0,0,0,25,141,1,81,2017-07-21,0 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170721-110758-871_L2A_T30TUM_D_V1-7_roi_0.tif,50.0,345558.273091,4626467.67287,MR,0.0,CENTENO,Secale cereale,1.3,0.15,N,SE,324NW,CL,D,I,0.0,VPG,"Cosecharan proximamente, el 24 de julio probablemente",b,0.0,0.0,0.0,1.854,0.0233,0.0369,0.0516,0.0835,0.105,0.1138,0.128,0.1444,0.1535,0.1518,0.234,0.1653
49,POINT (345418.7207011274 4626479.745116205),2017-06-20,0.0602,0.09,0.1323,0.198,0.1492,0.1623,0.1784,0.2061,0.3058,0.2137,0,0,0,0,25,141,1,81,2017-07-21,-31 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170721-110758-871_L2A_T30TUM_D_V1-7_roi_0.tif,9.0,345418.7207,4626479.745,MR,10.0,TRITORDEUM,Tritordeum,0.0,0.12,N,MA,98E,PC,D,I,0.0,VPG,Aun verdea. Phenological state between madure and senescent: LAI brown or mix,b,0.0,2.88,2.743333333,2.754614013,0.0662,0.0788,0.1248,0.1889,0.218,0.2365,0.2582,0.2696,0.2977,0.3138,0.384,0.2619
35,POINT (347807.53432110965 4628117.705176216),2017-07-21,0.0797,0.1283,0.205,0.307,0.2216,0.2529,0.2843,0.3286,0.4586,0.3319,0,0,0,0,31,148,0,82,2017-08-15,-25 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2B_20170815-111826-233_L2A_T30TUM_D_V1-7_roi_0.tif,55.0,347807.53432,4628117.70506,MR,0.0,ADORMIDERA,Papaver somniferum,1.1,0.2,B,SE,85E,CL,D,I,0.0,VPG,"Cultivo completamente seco. No se han georreferenciado los puntos B-E para no destrozar el cultivo. Sin embargo, si se han medido en 5 puntos aleatorios",b,0.0,0.0,0.0,0.946,0.0639,0.0578,0.0858,0.1389,0.167,0.1785,0.201,0.2252,0.2357,0.2683,0.3983,0.2966
51,POINT (345550.53916512674 4627059.061126212),2017-07-21,0.0354,0.0686,0.0437,0.4845,0.1087,0.3994,0.4741,0.4922,0.1967,0.095,0,0,0,0,25,141,1,81,2017-07-21,0 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170721-110758-871_L2A_T30TUM_D_V1-7_roi_0.tif,52.0,345550.539164,4627059.06101,MR,0.0,GIRASOL,Helianthus annuus,1.5,0.4,B,FL,240SW,CL,D,I,0.0,VPG,,g,0.0,0.0,0.0,3.944,0.0213,0.0273,0.0662,0.051,0.1191,0.3781,0.4368,0.4298,0.4391,0.464,0.2229,0.1258
52,POINT (345580.35840112646 4627087.022116202),2017-06-21,0.032,0.0697,0.0529,0.4517,0.1106,0.376,0.446,0.4662,0.2054,0.1068,0,0,0,0,25,141,1,81,2017-07-21,-30 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170721-110758-871_L2A_T30TUM_D_V1-7_roi_0.tif,16.0,345580.3584,4627087.022,MR,17.0,GIRASOL,Helianthus annuus,0.4,0.5,B,GU,5N,CL,S,I,0.0,VPG,girasol con tubos en suelo de regadio. estrategia de medida sparsely,g,20.23,0.254,0.36,0.8475,0.0556,0.059,0.1028,0.1482,0.1983,0.2639,0.2872,0.2964,0.3069,0.3016,0.3906,0.3027
53,POINT (345266.39401612885 4627200.7673262125),2017-07-21,0.0648,0.1062,0.137,0.3268,0.1801,0.2752,0.315,0.3488,0.3352,0.2276,0,0,0,0,25,141,1,82,2017-07-21,0 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170721-110758-871_L2A_T30TUM_D_V1-7_roi_0.tif,53.0,345266.394015,4627200.76721,MR,51.0,GARBANZOS,Cicer arietinum,0.45,0.2,N,SE,225SW,CL,S,R,0.0,VPG,LAI mixto muchas hierbas verdes intercaladas,mixto,0.0,0.0,0.0,0.73,0.0635,0.0625,0.1048,0.1254,0.1926,0.2929,0.327,0.3445,0.3626,0.367,0.35,0.2444
