,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,StudySite,ESUnumber,CropType,CropHeight,Rowspacing,LeafType,PhenoState,RowOrienta,SkyCond,SamplStrat,Irrigation,b_Tilled,Operators,d_observa,X_UTM,Y_UTM,LAI_g_B_mi,fCover,LicorLAI,LAI_AccuPA,SD_LAI_Acc,B443_1,B490_1,B560_1,B665_1,B705_1,B740_1,B783_1,B842_1,B865_1,B945_1,B1610_1,B2190_1
112,POINT (345706.29729834537 4627267.403774737),2018-07-11,0.048,0.0702,0.1066,0.1796,0.1267,0.1424,0.1617,0.1989,0.2161,0.1454,0,0,0,0,28,145,1,80,2018-08-05,-25 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180805-111514-408_L2A_T30TUM_C_V2-2_roi_0.tif,MR,138,CENTENO,135.0,0.0,N,MA,,PC,D,I,0,VPG,LAI mixto,345706.297297,4627267.40366,,,,1.82,0.16015617378,,0.0,0.0,,,,,,,,,
81,POINT (345352.41871949425 4626384.106187406),2018-05-17,0.0837,0.1316,0.188,0.2956,0.2217,0.2662,0.2872,0.3126,0.4571,0.3835,0,0,0,0,25,147,1,81,2018-05-17,0 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180517-111020-570_L2A_T30TUM_C_V2-2_roi_0.tif,MR,2117,GARBANZOS,15.0,15.0,B,GU,paralel to the path,PC,D,R,0,VPG,,345352.418718,4626384.10607,,,,0.144,0.09555103348,,0.0,0.0,,,,,,,,,
22,POINT (345192.8317346532 4625905.170116199),2018-07-11,0.0411,0.0891,0.0891,0.3094,0.1499,0.27,0.2974,0.3188,0.2783,0.1875,0,0,0,0,27,144,1,87,2018-07-31,-20 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2B_20180731-111437-943_L2A_T30TUM_C_V2-2_roi_0.tif,MR,5120,GIRASOL,140.0,0.0,B,FL,,OV,D,R,0,VPG,,345192.831734,4625905.17,,,,2.254,0.495307985,,0.0,0.0,,,,,,,,,
45,POINT (344090.7582068914 4626573.341601083),2018-07-10,0.0776,0.1237,0.2005,0.365,0.223,0.2905,0.3311,0.3777,0.3451,0.2189,0,0,0,0,29,147,1,89,2018-08-10,-31 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2B_20180810-111743-074_L2A_T30TUM_C_V2-2_roi_0.tif,MR,5107,GARBANZOS,50.0,0.0,B,MA,,CL,D,R,0,VPG,,344090.758206,4626573.34148,,,,3.132,0.65074572607,,0.0,0.0,,,,,,,,,
98,POINT (346895.6498945779 4628001.075310346),2018-06-28,0.06,0.1016,0.1469,0.2609,0.1817,0.2178,0.2448,0.2885,0.3404,0.2313,0,0,0,0,23,139,1,79,2018-07-06,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180706-110918-241_L2A_T30TUM_C_V2-2_roi_0.tif,MR,3122,GUISANTES,0.0,0.0,B,SE,,PC,D,R,0,VPG,,346895.649893,4628001.07519,,,,1.394,0.34925635284,,0.0,0.0,,,,,,,,,
25,POINT (344510.64766491135 4626016.200394903),2018-07-11,0.0455,0.0895,0.0991,0.3009,0.1587,0.2685,0.2933,0.3182,0.2788,0.1844,0,0,0,0,27,144,1,88,2018-07-31,-20 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2B_20180731-111437-943_L2A_T30TUM_C_V2-2_roi_0.tif,MR,144,GIRASOL,150.0,0.0,B,FL,,OV,D,R,0,VPG,,344510.647664,4626016.20028,,,,2.616,0.25928748524,,0.0,0.0,,,,,,,,,
118,POINT (346128.59508820495 4627426.755941861),2018-07-11,0.1176,0.1746,0.2601,0.3636,0.2961,0.3175,0.3437,0.3986,0.4762,0.3011,0,0,0,0,28,145,1,80,2018-08-05,-25 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180805-111514-408_L2A_T30TUM_C_V2-2_roi_0.tif,-1,139,TRIGO BLANDO,75.0,5.0,N,SE,,OV,D,R,0,NP,,346128.595087,4627426.75583,,,,2.338,0.22796929618,,0.0,0.0,,,,,,,,,
101,POINT (345358.63929191977 4626401.10933214),2018-07-02,0.0697,0.1203,0.1355,0.379,0.2035,0.3257,0.3508,0.3967,0.3615,0.2527,0,0,0,0,23,139,1,81,2018-07-06,-4 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180706-110918-241_L2A_T30TUM_C_V2-2_roi_0.tif,MR,4117,GARBANZOS,55.0,0.0,B,MA,,PC,D,R,0,VPG,,345358.639291,4626401.10922,,,,1.896,0.44847519441,,0.0,0.0,,,,,,,,,
64,POINT (347380.8759697117 4605277.626380054),2018-05-11,0.0358,0.063,0.039,0.462,0.0852,0.3487,0.4564,0.4848,0.177,0.0807,0,0,0,0,24,146,0,69,2018-05-22,-11 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2B_20180522-111119-931_L2A_T30TUM_C_V2-2_roi_0.tif,Greg,2101,LENTEJAS,24.0,20.0,B,GU,,PC,D,R,0,VPG,el mismo ESU q 101. se conduce mesures in this campaign,347380.875969,4605277.62626,,,,2.256,0.35920746095,,0.0,0.0,,,,,,,,,
5,POINT (339290.4095349032 4601195.443585707),2018-06-14,0.0809,0.1425,0.1109,0.4969,0.2221,0.419,0.4852,0.5199,0.2771,0.1583,0,0,0,0,22,140,1,81,2018-06-16,-2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,Gsec,3106,MEZCLA AVENA-TRIGO,90.0,0.0,-1,-1,,CL,D,R,0,VPG,,339290.409534,4601195.44347,,,,2.632,0.58827714557,,0.0,0.0,,,,,,,,,
