DHP 20170101,Years 20170101,Site₂ 20170101,Data 20170101,NameProject 20170101,Leader 20170101,Projects 20170101,Species 20170101,NameESU 20180628,NameESU 20180712,NameESU 20180727,NameESU 20180808,NameESU 20180817,NameESU 20180824,NameESU 20180925,NameESU 20181011,wkt_geom,X-wgs84,Y-wgs84,CropSp2018,ESU-ID,ESU-ID.1,ESU-ID-legend,PAIeff CE 28/05/2018,PAIeff CE  12/06/2018,PAIeff CE  20/06/2018,PAIeff CE  28/06/2018,PAIeff CE  12/07/2018,PAIeff CE  27/07/2018,PAIeff CE  08/08/2018,PAIeff CE  17/08/2018,PAIeff CE  24/08/2018,PAIeff CE  25/09/2018,PAIeff CE  11/10/2018,PAIeff CE V5.1 28/05/2018,PAIeff CE V5.1  12/06/2018,PAIeff CE V5.1 20/06/2018,PAIeff CE V5.1 28/06/2018,PAIeff CE V5.1   12/07/2018,PAIeff CE V5.1  27/07/2018,PAIeff CE V5.1 08/08/2018,PAIeff CE V5.1  17/08/2018,PAIeff CE V5.1  24/08/2018,PAIeff CE V5.1  25/09/2018,PAIeff CE V5.1  11/10/2018,PAIeff P57  28/05/2018,PAIeff P57  12/06/2018,PAIeff P57  20/06/2018,PAIeff P57 28/06/2018,PAIeff P57 12/07/2018,PAIeff P57 27/07/2018,PAIeff P57 08/08/2018,PAIeff P57 17/08/2018,PAIeff P57 24/08/2018,PAIeff P57 25/09/2018,PAIeff P57 11/10/2018,PAIeff Miller 28/05/2018,PAIeff Miller  12/06/2018,PAIeff Miller  20/06/2018,PAIeff Miller  28/06/2018,PAIeff Miller  12/07/2018,PAIeff Miller  27/07/2018,PAIeff Miller  08/08/2018,PAIeff Miller  17/08/2018,PAIeff Miller  24/08/2018,PAIeff Miller  25/09/2018,PAIeff Miller  11/10/2018,"PAIeff LAI2000, 3 rings  28/05/2018","PAIeff LAI2000, 3 rings  12/06/2018","PAIeff LAI2000, 3 rings   20/06/2018","PAIeff LAI2000, 3 rings   28/06/2018","PAIeff LAI2000, 3 rings   12/07/2018","PAIeff LAI2000, 3 rings  27/07/2018","PAIeff LAI2000, 3 rings  08/08/2018","PAIeff LAI2000, 3 rings  17/08/2018","PAIeff LAI2000, 3 rings  24/08/2018","PAIeff LAI2000, 3 rings  25/09/2018","PAIeff LAI2000, 3 rings  11/10/2018","PAIeff LAI2000, 4 rings  28/05/2018","PAIeff LAI2000, 4 rings 12/06/2018","PAIeff LAI2000, 4 rings 20/06/2018","PAIeff LAI2000, 4 rings 28/06/2018","PAIeff LAI2000, 4 rings 12/07/2018","PAIeff LAI2000, 4 rings 27/07/2018","PAIeff LAI2000, 4 rings 08/08/2018","PAIeff LAI2000, 4 rings 17/08/2018","PAIeff LAI2000, 4 rings 24/08/2018","PAIeff LAI2000, 4 rings 25/09/2018","PAIeff LAI2000, 4 rings 11/10/2018","PAIeff LAI2000, 5 rings  28/05/2018","PAIeff LAI2000, 5 rings 12/06/2018","PAIeff LAI2000, 5 rings 20/06/2018","PAIeff LAI2000, 5 rings 28/06/2018","PAIeff LAI2000, 5 rings 12/07/2018","PAIeff LAI2000, 5 rings 27/07/2018","PAIeff LAI2000, 5 rings 08/08/2018","PAIeff LAI2000, 5 rings 17/08/2018","PAIeff LAI2000, 5 rings 24/08/2018","PAIeff LAI2000, 5 rings 25/09/2018","PAIeff LAI2000, 5 rings 11/10/2018",PAItrue CE 28/05/2018,PAItrue CE12/06/2018,PAItrue CE 20/06/2018,PAItrue CE 28/06/2018,PAItrue CE 12/07/2018,PAItrue CE 27/07/2018,PAItrue CE 08/08/2018,PAItrue CE 17/08/2018,PAItrue CE 24/08/2018,PAItrue CE 25/09/2018,PAItrue CE 11/10/2018,"PAItrue CE 5,1 28/05/2018","PAItrue CE 5,1 12/06/2018","PAItrue CE 5,1 20/06/2018","PAItrue CE 5,1 28/06/2018","PAItrue CE 5,1 12/07/2018","PAItrue CE 5,1 27/07/2018","PAItrue CE 5,1 08/08/2018","PAItrue CE 5,1 17/08/2018","PAItrue CE 5,1 24/08/2018","PAItrue CE 5,1 25/09/2018","PAItrue CE 5,1 11/10/2018","PAItrue CE 5,7 28/05/2018","PAItrue CE 5,7 12/06/2018","PAItrue CE 5,7 20/06/2018","PAItrue CE 5,7 28/06/2018","PAItrue CE 5,7 12/07/2018","PAItrue CE 5,7 27/07/2018","PAItrue CE 5,7 08/08/2018","PAItrue CE 5,7 17/08/2018","PAItrue CE 5,7 24/08/2018","PAItrue CE 5,7 25/09/2018","PAItrue CE 5,7 11/10/2018",PAItrue Miller 28/05/2018,PAItrue Miller 12/06/2018,PAItrue Miller 20/06/2018,PAItrue Miller 28/06/2018,PAItrue Miller 12/07/2018,PAItrue Miller 27/07/2018,PAItrue Miller 08/08/2018,PAItrue Miller 17/08/2018,PAItrue Miller 24/08/2018,PAItrue Miller 25/09/2018,PAItrue Miller 11/10/2018
DHP,2017-2018,Site_2,Data,P2S2,CAPTE_UMT,Projects,maïs,,BOL1,BOL1,BOL1,BOL1,,,,Point (1.16818500000000047 43.46447599999988398),1.168185,43.464476,GrainMaize NotIrriga,BOL1,BOL1,BOL1,0.1,0.16,1.24,,2.72,2.44,1.73,0.8,,,,0.1,0.16,1.28,,2.65,2.51,1.74,0.85,,,,0.1,0.16,1.24,,2.72,2.44,1.73,0.8,,,,0.09,0.13,1.26,,2.7,2.46,1.75,0.86,,,,0.09,0.23,1.23,,2.75,2.6,1.58,1.06,,,,0.1,0.18,1.24,,2.67,2.45,1.62,0.9,,,,0.08,0.16,1.07,,2.33,2.15,1.42,0.78,,,,0.18,0.26,2.57,,4.53,4.29,3.14,1.25,,,,0.11,0.2,2.14,,3.94,3.9,2.48,1.01,,,,0.18,0.26,2.57,,4.53,4.28,3.14,1.25,,,,0.07,0.22,1.3,,3.16,2.73,2.01,0.93,,,
DHP,2017-2019,Site_3,Data,P2S3,CAPTE_UMT,Projects,maïs,BOL27,BOL27,BOL27,BOL27,,BOL27,,BOL27,Point (1.18870490802238815 43.47107327201480587),1.1887049,43.4710733,GrainMaize Irrigated,BOL27,BOL27,BOL27,,,0.22,0.27,1.29,2.56,2.79,,2.19,,0.05,,,0.17,0.29,1.33,2.74,2.75,,2.26,,0.06,,,0.22,0.27,1.29,2.56,2.79,,2.18,,0.06,,,0.19,0.27,1.32,2.66,2.77,,2.23,,0.06,,,0.16,0.32,1.35,3.02,3.1,,2.73,,0.09,,,0.17,0.31,1.33,2.76,2.88,,2.41,,0.07,,,0.17,0.27,1.14,2.39,2.53,,2.09,,0.06,,,0.5,0.69,2.85,4.39,4.42,,3.65,,0.06,,,0.38,0.49,2.32,3.28,3.13,,2.79,,0.06,,,0.5,0.69,2.85,4.39,4.42,,3.65,,0.06,,,0.17,0.2,1.39,3.06,3.12,,2.6,,0.06
DHP,2017-2020,Site_4,Data,P2S4,CAPTE_UMT,Projects,maïs,,BOL28,BOL28,BOL28,,BOL28,BOL28,,Point (1.18852352086442248 43.4685372319385479),1.1885235,43.4685372,GrainMaize Irrigated,BOL28,BOL28,BOL28,0.12,0.23,1.67,,2.93,2.32,2.51,,1.92,0.2,,0.12,0.24,1.43,,3.09,2.43,2.67,,2.11,0.22,,0.12,0.23,1.66,,2.94,2.33,2.52,,1.92,0.2,,0.11,0.24,1.6,,2.96,2.41,2.57,,1.99,0.23,,0.15,0.29,1.14,,3.02,2.76,2.91,,2.46,0.26,,0.14,0.25,1.4,,2.92,2.57,2.69,,2.14,0.23,,0.12,0.22,1.27,,2.55,2.19,2.33,,1.83,0.2,,0.21,0.39,3.57,,5.14,4.04,4.38,,3.34,0.25,,0.16,0.28,3.17,,3.71,3.04,3.27,,2.6,0.24,,0.21,0.39,3.57,,5.14,4.04,4.38,,3.34,0.25,,0.07,0.24,1.59,,3.57,2.68,3.06,,2.44,0.24,
DHP,2017-2021,Site_5,Data,P2S5,CAPTE_UMT,Projects,maïs,,BOL6,BOL6,BOL6,,BOL6,,,Point (1.19368500000000033 43.47430399999988992),1.193685,43.474304,GrainMaize Irrigated,BOL6,BOL6,BOL6,,,1.75,,2.59,2.24,2.46,,1.6,,,,,1.79,,2.59,2.48,2.59,,1.73,,,,,1.75,,2.57,2.25,2.46,,1.6,,,,,1.78,,2.64,2.35,2.51,,1.65,,,,,1.7,,2.9,2.72,2.65,,1.58,,,,,1.71,,2.66,2.44,2.51,,1.56,,,,,1.5,,2.3,2.1,2.2,,1.35,,,,,3.77,,4.24,3.87,,,2.96,,,,,3.37,,3.72,3.12,,,2.61,,,,,3.77,,4.24,3.87,,,2.96,,,,,1.95,,3.26,2.76,,,1.88,,
DHP,2017-2024,Site_8,Data,P2S8,CAPTE_UMT,Projects,maïs,,BRA105-MaisGrele,BRA105-MaisGrele,BRA105-MaisGrele,,BRA105-MaisGrele,,,Point (1.20336882894420194 43.49229739606881395),1.2033688,43.4922974,GrainMaize Irrigated,BRA105C,BRA105C,BRA105C,,,,,1.11,2.35,2.69,,2.17,,,,,,,1.14,2.35,2.73,,2.16,,,,,,,1.11,2.34,2.69,,2.17,,,,,,,1.12,2.38,2.72,,2.18,,,,,,,1.07,2.19,2.47,,2.08,,,,,,,1.08,2.2,2.48,,2.09,,,,,,,0.95,1.93,2.2,,1.84,,,,,,,1.78,3.93,4.28,,3.68,,,,,,,1.46,4.03,4.2,,2.95,,,,,,,1.78,3.94,4.28,,3.67,,,,,,,1.21,2.76,3.2,,2.46,,
DHP,2017-2026,Site_10,Data,P2S10,CAPTE_UMT,Projects,maïs,LAM4,LAM4,LAM4,,LAM4,,,,Point (1.2463229999999994 43.50542099999988466),1.246323,43.505421,Sillage Maize Irriga,LAM4,LAM4,LAM4,,,0.21,0.1,0.46,1.94,,1.74,,,,,,0.14,0.1,0.48,2.15,,1.88,,,,,,0.21,0.1,0.46,1.94,,1.74,,,,,,0.17,0.1,0.47,2.04,,1.82,,,,,,0.11,0.11,0.52,2.34,,2.55,,,,,,0.15,0.11,0.51,2.16,,2.11,,,,,,0.15,0.09,0.43,1.82,,1.78,,,,,,0.34,0.17,0.99,3.57,,3.16,,,,,,0.21,0.12,0.73,2.97,,2.57,,,,,,0.34,0.18,0.99,3.57,,3.16,,,,,,0.14,0.08,0.47,2.38,,2.25,,,
DHP,2017-2027,Site_11,Data,P2S11,CAPTE_UMT,Projects,maïs,PER12-A,PER12-A,PER12-A,,PER12-Mais6-New17aout,,PER12-A,PER12-A,Point (1.16751499999999941 43.46162999999988585),1.167515,43.46163,GrainMaize Irrigated,PER12A-Est,PER12AEst,PER-12-Est A,,,0.3,0.16,0.54,2.0,,1.77,,0.54,0.11,,,0.17,0.15,0.56,2.13,,1.86,,0.62,0.12,,,0.31,0.16,0.54,2.0,,1.77,,0.54,0.11,,,0.23,0.14,0.55,2.09,,1.87,,0.58,0.12,,,0.13,0.18,0.64,2.29,,,,0.7,0.12,,,0.18,0.16,0.6,2.15,,,,0.64,0.11,,,0.2,0.15,0.52,1.83,,,,0.53,0.1,,,0.58,0.45,1.13,3.84,,2.93,,0.76,0.13,,,0.27,0.34,0.81,3.17,,2.41,,0.61,0.12,,,0.58,0.45,1.13,3.84,,2.93,,0.76,0.12,,,0.16,0.11,0.54,2.29,,,,0.63,0.12
DHP,2017-2028,Site_12,Data,P2S12,CAPTE_UMT,Projects,maïs,PER12-B,PER12-B,PER12-B,,,,PER12-B,,Point (1.16692500000000066 43.46210999999990321),1.166925,43.46211,GrainMaize Irrigated,PER12B-Ouest,PER12BOuest,PER-12-Ouest B,,,0.23,0.11,0.52,2.03,,,,0.66,,,,0.13,0.11,0.56,2.21,,,,0.65,,,,0.23,0.11,0.52,2.03,,,,0.65,,,,0.14,0.1,0.54,2.14,,,,0.67,,,,0.11,0.13,0.58,2.56,,,,0.69,,,,0.13,0.13,0.57,2.28,,,,0.67,,,,0.15,0.11,0.49,1.93,,,,0.58,,,,0.42,0.25,1.18,3.79,,,,1.03,,,,0.22,0.17,0.82,3.28,,,,0.68,,,,0.42,0.25,1.18,3.79,,,,1.03,,,,0.14,0.04,0.5,2.41,,,,0.67,
DHP,2017-2029,Site_13,Data,P2S13,CAPTE_UMT,Projects,maïs,PER13,PER13,PER13,PER13,PER13,,PER13,,Point (1.1976500000000001 43.4720889999998974),1.19765,43.472089,GrainMaize Irrigated,PER13,PER13,PER13,,,1.24,1.57,3.55,2.84,2.36,2.03,,0.26,,,,1.09,1.61,3.55,3.03,2.4,2.26,,0.24,,,,1.24,1.57,3.55,2.84,2.36,2.02,,0.26,,,,1.19,1.62,3.57,2.92,2.41,2.22,,0.23,,,,1.0,1.64,4.11,3.26,2.61,2.68,,0.27,,,,1.09,1.59,3.74,3.02,2.43,2.36,,0.26,,,,0.99,1.38,3.25,2.62,2.12,1.97,,0.23,,,,2.86,3.42,5.44,4.72,3.96,3.46,,0.32,,,,2.41,3.07,4.74,3.53,2.99,2.8,,0.25,,,,2.86,3.42,5.44,4.71,3.96,3.46,,0.32,,,,1.15,1.73,4.29,3.37,2.72,2.61,,0.23,
DHP,2017-2030,Site_14,Data,P2S14,CAPTE_UMT,Projects,maïs,PER18-maïsGrele,PER18-maïsGrele,PER18-maïsGrele,PER18-maïsGrele,,PER18-maïsGrele,PER18,,Point (1.16332999999999998 43.48816999999999666),1.16333,43.48817,GrainMaize Irrigated,PER18,PER18,PER18,,,0.41,0.37,0.61,1.96,1.98,,1.42,0.65,,,,0.32,0.35,0.62,2.05,2.2,,1.54,0.65,,,,0.41,0.37,0.61,1.96,1.98,,1.42,0.65,,,,0.34,0.36,0.6,1.99,2.09,,1.52,0.66,,,,0.26,0.37,0.56,2.09,2.53,,1.82,1.02,,,,0.3,0.38,0.61,2.04,2.27,,1.61,0.83,,,,0.3,0.33,0.53,1.75,1.92,,1.37,0.71,,,,0.84,0.93,1.4,3.46,3.49,,2.01,0.78,,,,0.58,0.61,1.02,2.88,2.71,,1.57,0.73,,,,0.84,0.93,1.4,3.46,3.49,,2.01,0.78,,,,0.32,0.29,0.58,2.09,2.47,,1.71,0.72,
DHP,2017-2031,Site_15,Data,P2S15,CAPTE_UMT,Projects,maïs,PER22,,PER22,,PER22,,PER22,PER22,Point (1.15278499999999995 43.45198100000000352),1.152785,43.451981,GrainMaize Irrigated,PER22,PER22,PER22,,,0.32,0.2,,2.34,,1.99,,0.55,0.12,,,0.17,0.16,,2.46,,2.19,,0.56,0.12,,,0.32,0.2,,2.34,,1.99,,0.55,0.12,,,0.2,0.17,,2.41,,2.2,,0.57,0.13,,,0.11,0.2,,2.95,,2.91,,0.65,0.12,,,0.19,0.2,,2.62,,2.43,,0.6,0.12,,,0.2,0.18,,2.22,,2.03,,0.51,0.1,,,0.62,0.47,,4.22,,3.31,,0.8,0.15,,,0.31,0.28,,3.23,,2.83,,0.6,0.15,,,0.61,0.47,,4.22,,3.31,,0.8,0.15,,,0.22,0.1,,2.91,,2.59,,0.62,0.14
DHP,2017-2032,Site_16,Data,P2S16,CAPTE_UMT,Projects,soja,BLA2,BLA2,BLA2,,BLA2,BLA2,BLA2,,Point (1.23422654402985099 43.48880872537304043),1.2342265,43.4888087,Soybean Irrigated,BLA2-20,BLA2-20 ,BLA-2-20 soja,,,0.2,0.34,0.89,2.65,,2.91,3.27,0.08,,,,0.2,0.3,0.86,2.88,,3.04,3.19,0.1,,,,0.2,0.33,0.89,2.65,,2.91,3.26,0.08,,,,0.19,0.3,0.83,2.73,,3.0,3.24,0.08,,,,0.26,0.28,0.91,3.69,,4.08,3.77,0.13,,,,0.23,0.29,0.89,3.1,,3.54,3.51,0.1,,,,0.2,0.28,0.79,2.67,,2.97,3.05,0.09,,,,0.5,0.54,1.41,5.0,,4.91,5.25,0.11,,,,0.35,0.31,0.9,5.26,,4.22,4.13,0.1,,,,0.5,0.54,1.4,5.0,,4.91,5.25,0.11,,,,0.08,0.27,0.9,3.05,,3.4,3.42,0.08,
DHP,2017-2033,Site_17,Data,P2S17,CAPTE_UMT,Projects,soja,JPI2,JPI2-A,JPI2-A,,,,,,Point (1.24070199999999953 43.50696099999989741),1.240702,43.506961,Soybean Irrigated,JPi2A-Ouest,JPI2A -Ouest,JPI-2 A soja,,,0.41,0.45,1.37,2.21,,,,,,,,0.32,0.45,1.39,2.31,,,,,,,,0.41,0.45,1.38,2.2,,,,,,,,0.34,0.45,1.37,2.26,,,,,,,,0.26,0.49,1.41,2.91,,,,,,,,0.33,0.46,1.39,2.6,,,,,,,,0.32,0.41,1.2,2.2,,,,,,,,0.94,0.93,2.58,4.54,,,,,,,,0.6,0.59,1.58,3.62,,,,,,,,0.94,0.93,2.58,4.54,,,,,,,,0.2,0.37,1.46,2.81,,,,,
DHP,2017-2034,Site_18,Data,P2S18,CAPTE_UMT,Projects,soja,,JPI2-B,JPI2-B,,JPI2-B,,,,Point (1.24118199999999912 43.50636799999992377),1.241182,43.506368,Soybean Irrigated,JPi2B-Est,JPi2B-Est,JPI-2 B soja,,,,,0.6,2.55,,3.0,,,,,,,,0.66,2.68,,3.03,,,,,,,,0.6,2.55,,3.0,,,,,,,,0.63,2.66,,2.97,,,,,,,,0.74,3.47,,4.07,,,,,,,,0.7,3.06,,3.53,,,,,,,,0.6,2.56,,3.03,,,,,,,,1.28,4.98,,5.26,,,,,,,,0.98,4.48,,5.39,,,,,,,,1.28,4.98,,5.26,,,,,,,,0.59,3.26,,3.29,,,
