DHP,CAN-EYE Version,Species,Date DHP,Date DHP.1,NameESU,X-WGS84,Y-WGS84,PAIeff – CE,PAIeff CE V5.1,PAIeff – P57,PAIeff Miller,"PAIeff – LAI2000, 3 rings","PAIeff – LAI2000, 4 rings","PAIeff – LAI2000, 5 rings",PAItrue – CE,PAItrue – CE V5.1,PAItrue – P57,PAItrue – Miller
DHP,V6.495,winter wheat,20171129,2017-11-29,ANJ-28,1.15608,43.49175,0.14,0.14,0.14,0.15,0.13,0.14,0.12,0.16,0.15,0.16,0.15
DHP,V6.495,winter wheat,20171129,2017-11-29,BLA-1-4,1.229033,43.487048,0.16,0.14,0.15,0.16,0.12,0.14,0.12,0.16,0.16,0.16,0.17
DHP,V6.495,winter oilseedrape,20171128,2017-11-28,ANJ-23,1.15456,43.486663,0.64,0.66,0.64,0.66,0.84,0.72,0.63,1.11,0.88,1.12,0.74
DHP,V6.495,winter oilseedrape,20171128,2017-11-28,ANJ-26,1.155327,43.488375,2.69,2.59,2.69,2.66,3.28,2.94,2.57,5.39,5.13,5.39,3.03
DHP,V6.495,winter oilseedrape,20171129,2017-11-29,ANJ-29,1.155629,43.495258,1.17,1.17,1.17,1.16,1.42,1.3,1.13,2.22,1.66,2.23,1.17
DHP,V6.495,winter oilseedrape,20171129,2017-11-29,BLA-1-6,1.23294,43.48618,1.06,1.08,1.05,1.13,1.45,1.23,1.06,1.98,1.62,1.98,1.29
DHP,V6.495,winter oilseedrape,20171128,2017-11-28,BLA-5-13,1.23066,43.47786,0.34,0.34,0.33,0.35,0.39,0.35,0.3,0.62,0.45,0.62,0.36
DHP,V6.495,winter oilseedrape,20171128,2017-11-28,BLA-5-13-B,1.22794,43.47811,0.84,0.86,0.84,0.85,0.81,0.83,0.71,1.57,1.44,1.57,0.96
DHP,V6.495,winter oilseedrape,20171128,2017-11-28,BOP-13,1.229846,43.51535,1.74,1.8,1.74,1.75,2.0,1.82,1.62,3.88,3.52,3.88,1.81
DHP,V6.495,winter oilseedrape,20171128,2017-11-28,BOP-9,1.23243,43.49324,0.78,0.8,0.78,0.79,0.91,0.85,0.72,1.22,0.9,1.22,0.83
DHP,V6.495,winter oilseedrape,20171128,2017-11-28,BOX-3,1.27244,43.46647,2.18,2.18,2.18,2.14,3.51,2.8,2.4,3.69,4.1,3.69,2.22
DHP,V6.495,winter oilseedrape,20171128,2017-11-28,BOX-4,1.275444,43.464556,0.86,0.84,0.86,0.82,1.02,0.96,0.83,2.12,1.56,2.12,0.92
DHP,V6.495,winter oilseedrape,20171128,2017-11-28,BRA-46,1.18872,43.445736,1.28,1.38,1.28,1.31,1.78,1.53,1.3,2.27,1.9,2.27,1.44
DHP,V6.495,winter oilseedrape,20171128,2017-11-28,BRA-54,1.19265,43.46985,0.59,0.59,0.59,0.58,0.81,0.69,0.6,1.48,1.22,1.48,0.68
DHP,V6.495,winter oilseedrape,20171127,2017-11-27,BRA-59,1.20473,43.47181,0.98,1.03,0.98,0.93,1.3,1.19,1.0,2.14,1.89,2.14,0.98
DHP,V6.495,winter oilseedrape,20171128,2017-11-28,BRA-61,1.20708,43.473025,1.32,1.54,1.32,1.54,2.08,1.77,1.46,2.69,2.6,2.69,1.58
DHP,V6.495,winter oilseedrape,20171128,2017-11-28,BRA-70,1.19405,43.47228,0.92,0.93,0.92,0.92,0.99,0.97,0.84,1.86,1.28,1.86,0.9
DHP,V6.495,winter oilseedrape,20171128,2017-11-28,MER-27,1.23422,43.46681,0.11,0.11,0.11,0.08,0.13,0.13,0.11,0.22,0.17,0.22,0.05
DHP,V6.495,winter oilseedrape,20171128,2017-11-28,MER-37,1.23743,43.47173,0.03,0.04,0.03,0.03,0.04,0.04,0.03,0.05,0.04,0.05,0.0
DHP,V6.495,winter oilseedrape,20171128,2017-11-28,BON-33,1.211307,43.443861,1.51,1.58,1.51,1.51,1.91,1.7,1.48,3.57,3.13,3.57,1.7
DHP,V6.492,winter wheat,20180301,2018-03-01,ANJ-28,1.15567,43.49187,0.82,0.71,0.82,0.76,0.58,0.68,0.63,1.01,0.88,1.01,0.81
DHP,V6.495,winter wheat,20180228,2018-02-28,AUZ-10-1-PP,1.50948,43.5261,0.54,0.51,0.55,0.49,0.5,0.51,0.47,0.72,0.55,0.72,0.47
DHP,V6.495,winter wheat,20180228,2018-02-28,AUZ-2-2-ME,1.504044,43.526055,0.74,0.64,0.74,0.67,0.49,0.59,0.54,0.95,0.77,0.95,0.69
DHP,V6.495,winter wheat,20180227,2018-02-27,BLA-1-4,1.229033,43.487048,0.84,0.71,0.84,0.77,0.58,0.67,0.63,1.04,0.82,1.04,0.77
DHP,V6.492,winter wheat,20180227,2018-02-27,BLA-4,1.23595,43.49228,0.72,0.69,0.73,0.7,0.59,0.64,0.57,0.84,0.77,0.83,0.72
DHP,V6.495,winter wheat,20180227,2018-02-27,BRA-12-18,1.202861,43.466336,1.1,1.1,1.1,1.1,1.1,1.12,0.97,1.29,1.14,1.29,1.09
DHP,V6.492,winter wheat,20180227,2018-02-27,BRA-11-19,1.20718,43.4673799999999,1.07,1.0,1.08,1.03,0.96,0.99,0.89,1.6,1.31,1.6,1.06
DHP,V6.495,winter wheat,20180301,2018-03-01,LAM-3-2,1.24979,43.50013,1.45,1.41,1.44,1.41,1.66,1.52,1.35,1.67,1.46,1.67,1.47
DHP,V6.495,winter barley,20180227,2018-02-27,PAV-1,1.22679,43.47418,1.39,1.34,1.39,1.36,1.2,1.31,1.14,1.75,1.62,1.75,1.44
DHP,V6.495,winter wheat,20180227,2018-02-27,PAV-10,1.26166,43.46363,0.52,0.51,0.53,0.51,0.51,0.51,0.45,0.67,0.6,0.68,0.51
DHP,V6.495,winter barley,20180227,2018-02-27,PAV-18-3-A,1.25863,43.45736,1.12,1.14,1.12,1.11,1.22,1.14,1.01,1.41,1.27,1.41,1.16
DHP,V6.495,winter barley,20180227,2018-02-27,PAV-18-3-B,1.25572,43.45909,1.34,1.32,1.34,1.31,1.27,1.34,1.13,1.67,1.63,1.67,1.43
DHP,V6.495,winter oilseedrape,20180301,2018-03-01,ANJ-26,1.155327,43.4883749999999,0.56,0.56,0.57,0.55,0.64,0.59,0.52,0.9,0.67,0.9,0.54
DHP,V6.495,winter oilseedrape,20180301,2018-03-01,ANJ-29,1.15691,43.49552,1.02,1.01,1.02,0.99,1.06,1.01,0.9,2.09,1.53,2.09,1.0
DHP,V6.495,winter oilseedrape,20180227,2018-02-27,BLA-1-6,1.23294,43.48618,1.01,0.99,1.01,0.98,1.11,1.03,0.91,1.88,1.29,1.88,0.99
DHP,V6.495,winter oilseedrape,20180227,2018-02-27,BLA-1-6-B-Sud,1.232028,43.483323,0.87,0.9,0.87,0.88,1.14,1.01,0.87,1.08,0.91,1.08,0.89
DHP,V6.495,winter oilseedrape,20180227,2018-02-27,BLA-5-13,1.23017,43.47852,0.74,0.7,0.74,0.75,0.93,0.8,0.71,1.13,1.03,1.13,0.85
DHP,V6.495,winter oilseedrape,20180227,2018-02-27,BOP-9,1.23201,43.49356,0.9,0.84,0.9,0.85,1.04,0.96,0.85,1.29,0.97,1.29,0.86
DHP,V6.495,winter oilseedrape,20180227,2018-02-27,BOX-3,1.27388,43.46826,1.6,1.59,1.6,1.6,1.97,1.79,1.54,2.31,1.74,2.31,1.59
DHP,V6.495,winter oilseedrape,20180227,2018-02-27,BOX-4,1.275847,43.4643099999999,0.8,0.84,0.81,0.83,0.9,0.84,0.73,1.43,1.23,1.43,0.93
DHP,V6.495,winter oilseedrape,20180301,2018-03-01,BRA-54,1.19072,43.46976,0.83,0.81,0.83,0.8,0.94,0.86,0.77,1.8,1.31,1.8,0.82
DHP,V6.495,winter oilseedrape,20180301,2018-03-01,BRA-59,1.20442,43.47211,0.85,0.88,0.85,0.84,1.02,0.99,0.84,1.83,1.46,1.83,0.88
