Sequent_N,Ref_N,Date,Hour_UTC+1,Operator,Latitude,Longitude,CropHeight,BBCH,Crop-EN,Crop-ES,Crop-FR,Crop-IT,Crop-LA,Crop-PL,Rowsp_(cm),RowOr(deg),SkyCond,LicorLAI,std_Licor,PocketLAI,std_PockLA,AccuPAR,std_AccuPA,Note
"1",Sg01_liv2_20170316_LAI,16-Mar-2017,12:11 PM,Colecchia S.A. - De Santis A.P.,"41.360597","15.477490",10-30 cm,"23",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"0.630","0.336",,,,,
"2",Sg02_liv2_20170316_LAI,16-Mar-2017,12:24 PM,Colecchia S.A. - De Santis A.P.,"41.365754","15.478627",10-30 cm,"23",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"0.500","0.079",,,,,
"3",Sg03_liv2_20170316_LAI,16-Mar-2017,1:40 PM,Colecchia S.A. - De Santis A.P.,"41.370132","15.482916",10-30 cm,"23",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"0.650","0.042",,,,,
"4",Sg04_liv2_20170316_LAI,16-Mar-2017,3:04 PM,Colecchia S.A. - De Santis A.P.,"41.375459","15.486340",10-30 cm,"23",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"0.517","0.150",,,,,
"5",Sg05_liv2_20170316_LAI,16-Mar-2017,2:50 PM,Colecchia S.A. - De Santis A.P.,"41.374255","15.487682",10-30 cm,"23",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"0.457","0.323",,,,,
"6",Sg06_liv2_20170316_LAI,16-Mar-2017,3:46 PM,Colecchia S.A. - De Santis A.P.,"41.379578","15.496237",10-30 cm,"23",Olive,,,Olivo,Olea europaea L.,,,,Sunny - no clouds,"0.310","0.226",,,,,Durum Wheat intercropping
"7",Sg07_liv2_20170316_LAI,16-Mar-2017,11:08 AM,Colecchia S.A. - De Santis A.P.,"41.378372","15.502219",10-30 cm,"23",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"0.907","0.401",,,,,
"8",Sg08_liv2_20170316_LAI,16-Mar-2017,12:45 PM,Colecchia S.A. - De Santis A.P.,"41.364159","15.485311",10-30 cm,"23",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"0.550","0.412",,,,,
"9",Sg09_liv2_20170316_LAI,16-Mar-2017,2:06 PM,Colecchia S.A. - De Santis A.P.,"41.367792","15.490946",,,Uncultivated,No cultivado,Inculte,Incolto,,Nieuprawny,,,Sunny - no clouds,"2.363","1.172",,,,,Pasture area
"10",Sg10_liv2_20170316_LAI,16-Mar-2017,3:29 PM,Colecchia S.A. - De Santis A.P.,"41.369087","15.495511",10-30 cm,"23",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"0.430","0.410",,,,,
"11",Sg11_liv2_20170316_LAI,16-Mar-2017,2:29 PM,Colecchia S.A. - De Santis A.P.,"41.371316","15.500838",10-30 cm,"23",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"0.640","0.438",,,,,
"12",SgMS_liv2_20170316_LAI,16-Mar-2017,11:02 AM,Colecchia S.A. - De Santis A.P.,"41.378103","15.499921",10-30 cm,"23",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"0.807","0.172",,,,,
"13",AA.S_Capitanata.01_2017_LAI,21-Mar-2017,11:32 AM,Riefolo C. - Ruggieri S.,"41.515470","15.511044",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.900","0.113",,,,,
"14",AA.S_Capitanata.02_2017_LAI,21-Mar-2017,11:35 AM,Riefolo C. - Ruggieri S.,"41.515470","15.511044",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.675","0.280",,,,,
"15",AA.S_Capitanata.03_2017_LAI,21-Mar-2017,11:55 AM,Riefolo C. - Ruggieri S.,"41.524643","15.512147",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"3.175","0.233",,,,,
"16",AA.S_Capitanata.04_2017_LAI,21-Mar-2017,12:00 PM,Riefolo C. - Ruggieri S.,"41.525512","15.511690",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"4.560","0.566",,,,,
"17",AA.S_Capitanata.05_2017_LAI,21-Mar-2017,12:01 PM,Riefolo C. - Ruggieri S.,"41.525512","15.511690",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"4.095","0.926",,,,,
"18",AA.S_Capitanata.06_2017_LAI,21-Mar-2017,12:11 PM,Riefolo C. - Ruggieri S.,"41.524906","15.518996",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"3.365","0.262",,,,,
"19",AA.S_Capitanata.07_2017_LAI,21-Mar-2017,12:27 PM,Riefolo C. - Ruggieri S.,"41.539778","15.503501",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.295","0.389",,,,,
"20",AA.S_Capitanata.08_2017_LAI,21-Mar-2017,12:37 PM,Riefolo C. - Ruggieri S.,"41.538942","15.503468",30-50 cm,"19",Spinach,,,Spinacio,Spinacia oleracea L.,,,,Sunny - no clouds,"6.675","0.345",,,,,
"21",AA.S_Capitanata.09_2017_LAI,21-Mar-2017,4:22 PM,Riefolo C. - Ruggieri S.,"41.511048","15.584016",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"3.650","0.650",,,,,
"22",AA.S_Capitanata.10_2017_LAI,21-Mar-2017,4:30 PM,Riefolo C. - Ruggieri S.,"41.578958","15.485842",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"2.400","0.764",,,,,
"23",AA.S_Capitanata.11_2017_LAI,21-Mar-2017,4:35 PM,Riefolo C. - Ruggieri S.,"41.604823","15.532981",>50 cm,,Uncultivated,No cultivado,Inculte,Incolto,,Nieuprawny,,,Sunny - no clouds,"8.980","0.495",,,,,Natural area
"24",AA.S_Capitanata.12_2017_LAI,21-Mar-2017,4:38 PM,Riefolo C. - Ruggieri S.,"41.605978","15.530603",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"6.545","0.870",,,,,
"25",AA.S_Capitanata.13_2017_LAI,21-Mar-2017,4:42 PM,Riefolo C. - Ruggieri S.,"41.608724","15.537543",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.315","0.255",,,,,
"26",AA.S_Capitanata.14_2017_LAI,21-Mar-2017,4:59 PM,Riefolo C. - Ruggieri S.,"41.619617","15.553379",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"6.810","0.410",,,,,
"27",AA.S_Capitanata.15_2017_LAI,21-Mar-2017,5:01 PM,Riefolo C. - Ruggieri S.,"41.619617","15.553379",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"6.970","1.428",,,,,
"28",AA.S_Capitanata.16_2017_LAI,21-Mar-2017,5:02 PM,Riefolo C. - Ruggieri S.,"41.621147","15.552838",>50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"5.840","0.540",,,,,
"29",AA.S_Capitanata.17_2017_LAI,21-Mar-2017,5:16 PM,Riefolo C. - Ruggieri S.,"41.624116","15.564763",>50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"5.480","0.150",,,,,
"30",AA.S_Capitanata.18_2017_LAI,21-Mar-2017,5:20 PM,Riefolo C. - Ruggieri S.,"41.625447","15.564431",>50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"6.090","0.790",,,,,
"31",AA.S_Capitanata.19_2017_LAI,21-Mar-2017,5:22 PM,Riefolo C. - Ruggieri S.,"41.622771","15.572094",10-30 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"6.000","0.710",,,,,
"32",AA.S_Capitanata.20_2017_LAI,21-Mar-2017,5:31 PM,Riefolo C. - Ruggieri S.,"41.621989","15.574738",10-30 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.870","0.390",,,,,
"33",AA.S_Capitanata.21_2017_LAI,21-Mar-2017,5:32 PM,Riefolo C. - Ruggieri S.,"41.605563","15.561514",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.300","0.190",,,,,
"34",AA.S_Capitanata.22_2017_LAI,21-Mar-2017,5:37 PM,Riefolo C. - Ruggieri S.,"41.601285","15.558720",>50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"4.110","0.050",,,,,
"35",AA.S_Capitanata.23_2017_LAI,21-Mar-2017,5:38 PM,Riefolo C. - Ruggieri S.,"41.615392","15.570616",>50 cm,"40",Horse beans,,,Favino,Vicia Faba var. minor Beck.,,,,Sunny - no clouds,"3.920","0.530",,,,,
"36",AA.S_Capitanata.24_2017_LAI,21-Mar-2017,5:46 PM,Riefolo C. - Ruggieri S.,"41.600735","15.561016",10-30 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"3.040","0.220",,,,,
"37",AA.S_Capitanata.25_2017_LAI,21-Mar-2017,6:09 PM,Riefolo C. - Ruggieri S.,"41.588027","15.556375",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"3.810","0.500",,,,,
"38",AA.S_Capitanata.26_2017_LAI,21-Mar-2017,6:10 PM,Riefolo C. - Ruggieri S.,"41.586712","15.555674",10-30 cm,"35",Horse beans,,,Favino,Vicia Faba var. minor Beck.,,,,Sunny - no clouds,"2.250","0.140",,,,,
"39",AA.S_Capitanata.27_2017_LAI,21-Mar-2017,6:17 PM,Riefolo C. - Ruggieri S.,"41.581423","15.547459",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"2.030","0.170",,,,,
"40",AA.S_Capitanata.28_2017_LAI,21-Mar-2017,6:18 PM,Riefolo C. - Ruggieri S.,"41.580359","15.549278",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"3.630","0.620",,,,,
"41",AA.S_Capitanata.29_2017_LAI,21-Mar-2017,6:28 PM,Riefolo C. - Ruggieri S.,"41.557532","15.545631",10-30 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.540","0.000",,,,,
"42",AA.S_Capitanata.30_2017_LAI,21-Mar-2017,6:30 PM,Riefolo C. - Ruggieri S.,"41.557571","15.547286",10-30 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.900","0.410",,,,,
"43",AA.S_Capitanata.31_2017_LAI,21-Mar-2017,6:39 PM,Riefolo C. - Ruggieri S.,"41.546223","15.543044",10-30 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"0.990","0.170",,,,,
"44",AA.S_Capitanata.32_2017_LAI,21-Mar-2017,6:41 PM,Riefolo C. - Ruggieri S.,"41.545719","15.544504",30-50 cm,"19",Brocoli,,,Broccolo,Brassica oleracea var. italica,,,,Sunny - no clouds,"1.590","0.940",,,,,
"45",AA.S_Capitanata.33_2017_LAI,22-Mar-2017,9:48 AM,Riefolo C. - Ruggieri S.,"41.533089","15.536490",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"6.060","0.460",,,,,
"46",AA.S_Capitanata.34_2017_LAI,22-Mar-2017,9:56 AM,Riefolo C. - Ruggieri S.,"41.605276","15.529955",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"3.080","0.170",,,,,
"47",AA.S_Capitanata.35_2017_LAI,22-Mar-2017,10:24 AM,Riefolo C. - Ruggieri S.,"41.609817","15.523092",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"3.900","0.370",,,,,
"48",AA.S_Capitanata.36_2017_LAI,22-Mar-2017,10:29 AM,Riefolo C. - Ruggieri S.,"41.616784","15.522277",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"3.580","0.060",,,,,
"49",AA.S_Capitanata.37_2017_LAI,22-Mar-2017,10:38 AM,Riefolo C. - Ruggieri S.,"41.615981","15.520637",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.100","0.140",,,,,
"50",AA.S_Capitanata.38_2017_LAI,22-Mar-2017,10:44 AM,Riefolo C. - Ruggieri S.,"41.627814","15.517791",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"3.590","0.100",,,,,
"51",AA.S_Capitanata.39_2017_LAI,22-Mar-2017,10:47 AM,Riefolo C. - Ruggieri S.,"41.634119","15.512623",>50 cm,"40",Horse beans,,,Favino,Vicia Faba var. minor Beck.,,,,Sunny - no clouds,"5.790","0.990",,,,,
"52",AA.S_Capitanata.40_2017_LAI,22-Mar-2017,10:49 AM,Riefolo C. - Ruggieri S.,"41.632763","15.512047",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"3.310","0.290",,,,,
"53",AA.S_Capitanata.41_2017_LAI,22-Mar-2017,10:51 AM,Riefolo C. - Ruggieri S.,"41.633837","15.510879",>50 cm,"40",Horse beans,,,Favino,Vicia Faba var. minor Beck.,,,,Sunny - no clouds,"1.880","0.510",,,,,
"54",AA.S_Capitanata.42_2017_LAI,22-Mar-2017,11:04 AM,Riefolo C. - Ruggieri S.,"41.641202","15.505783",10-30 cm,"35",Horse beans,,,Favino,Vicia Faba var. minor Beck.,,,,Sunny - no clouds,"0.600","0.000",,,,,
"55",AA.S_Capitanata.43_2017_LAI,22-Mar-2017,11:06 AM,Riefolo C. - Ruggieri S.,"41.642138","15.506979",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.030","0.160",,,,,
