fid,StudySite,ESUnumber,CropType,CropHeight,Rowspacing,LeafType,PhenoState,RowOrienta,SkyCond,SamplStrat,Irrigation,b_Tilled,Operators,d_observa,X_UTM,Y_UTM,Date,LAI_g_B_mi,fCover,LicorLAI,LAI_AccuPA,SD_LAI_Acc,B443_1,B490_1,B560_1,B665_1,B705_1,B740_1,B783_1,B842_1,B865_1,B945_1,B1610_1,B2190_1,FID_,f_datetime,Time,Scientific,LAI_g_B,Pocket_LAI,AccuPAR,443_1,490_1,560_1,665_1,705_1,740_1,783_1,842_1,865_1,945_1,1610_1,2190_1,layer,path
"1",Greg,"101",LENTEJAS,3,18,B,EM,E-W,CL,S,R,"1",VPG,el punto A es el mismo que en la campaña anterior. fotos del W17 se SSM,347397.862802,4605298.15908,2018/04/05,,,,0.172,0.09576011696,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"2",Greg,"102",RAYGRAS,20,35,N,GU,perpendicular al camino,CL,D,R,"0",VPG,mezcla de gramíneas con leguminosas.  hay tb alfalfa y malas hierbas. las gramineas pueden ser avena y lolium q parece q esta en hileras sembrado. este lolium puede ser araygras y es el q predomina. fotos en W18A de SSM,345499.011883,4603220.17423,2018/04/05,,,,0.348,0.09176055798,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"3",Gsec,"104",ALFALFA,12,12,B,GU,N-s. perpendicular al camino,PC,D,R,"0",VPG,parece siembra directa. se ve el rastrojo,339195.632089,4601193.62839,2018/04/05,,,,0.3,0.18986837546,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"4",Gsec,"105",LENTEJAS,3,10,B,EM,paralelo a la carretera,PC,D,R,"1",VPG,germano hace pocos dias,339282.467839,4601257.08065,2018/04/05,,,,0.062,0.02387467277,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"5",Gsec,"106",MEZCLA AVENA-TRIGO,18,10,N,GU,perpendicular carretera,PC,D,R,"1",VPG,por morfología parece Bromo? no tiene aurículas y tiene vaina basal rojiza. puede ser mezcla de Reservo ríos?,339290.32711,4601186.69158,2018/04/05,,,,1.136,0.42068990955,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"6",MR,"107",GARBANZOS,8,14,B,GU,N-S,CL,D,R,"0",VPG,,344049.674785,4626541.88067,2018/05/07,,,,0.126,0.07300684899,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"7",MR,"108",CEBADA,40,10,N,GU,NS,CL,D,R,"1",VPG,en la zona de secano hay mucho Bromo como mala hierba,344153.774303,4626523.97332,2018/05/07,,,,2.064,0.62520396672,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"8",MR,"109",TRIGO BLANDO,50,15,N,GU,perpendicular to the road,CL,D,R,"0",VPG,,344107.730698,4626677.905,2018/05/07,,,,2.574,0.2859720266,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"9",MR,"110",ALPISTE,38,15,N,GU,,CL,D,I,"0","-1",,344520.134428,4626517.62926,2018/05/07,,,,2.854,0.28849610049,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"10",MR,"111",COLZA,150,25,B,FL,,CL,D,I,"0",VPG,,345067.106706,4626801.01656,2018/05/07,,,,2.126,0.541507156,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"11",MR,"112",CAMELINA,80,25,B,"-1",paralelo to the way,CL,"-1","-1","0","-1",CAMELINA tiene muchas calvas y corros. LAI muy variado,345141.533454,4627140.235,2018/05/07,,,,2.222,1.11542368632,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
